,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.38,0.8,0.26,0.62,0.19,0.24,0.85,0.77,0.26,0.5,0.86
gabel.csv,0.5,0.78,0.31,0.48,0.3,0.15,0.8,0.77,1.0,0.46,0.73
javaprofiler.csv,0.3,0.71,0.34,0.44,0.1,0.2,0.7,0.72,0.41,0.4,0.84
jmoney.csv,0.75,0.76,0.29,0.42,0.19,0.08,0.74,0.79,0.58,0.44,0.74
mycila.csv,0.48,0.74,0.27,0.39,0.13,0.39,0.79,0.73,0.13,0.41,0.57
neodatis-odb.csv,0.45,0.65,0.57,0.42,0.06,0.5,0.78,0.72,0.5,0.41,0.8
servicestack.csv,0.25,0.5,0.36,0.17,0.0,0.09,0.73,1.0,0.55,0.5,0.83
sqlpower-library.csv,0.34,0.85,0.35,0.3,0.11,0.19,0.69,0.76,0.38,0.37,0.79
synecdoche.csv,0.54,0.7,0.26,0.39,0.1,0.23,0.86,0.74,0.22,0.61,0.58
tmva.csv,0.39,0.73,0.34,0.48,0.08,0.2,0.89,0.73,0.26,0.5,0.6
unicase.csv,0.36,0.79,0.36,0.35,0.13,0.23,0.75,0.83,0.43,0.39,0.64
