,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv,customsagetv.csv
checker-framework.csv,0.77,0.88,0.19,0.64,0.27,0.9,0.84,0.78,0.85,0.39,0.2,0.5,0.89,0.86,0.63,0.17
customsagetv.csv,0.31,0.26,0.05,0.55,0.55,0.25,0.42,0.13,0.31,0.38,0.21,0.18,0.45,0.14,0.2,0.9
fluidium.csv,0.04,0.05,0.07,0.27,0.0,0.2,0.0,0.04,0.0,0.02,0.01,0.08,0.02,0.71,0.0,0.08
guineu.csv,0.69,0.71,0.67,0.64,0.55,0.95,0.65,0.83,0.38,0.46,0.58,0.87,0.52,1.0,0.54,0.88
inkscape.csv,0.73,0.58,0.52,0.82,0.27,0.0,0.65,0.61,0.54,0.7,0.19,0.71,0.93,0.57,0.71,0.98
mpqc.csv,0.23,0.0,0.0,0.0,0.0,0.55,0.05,0.3,0.0,0.04,0.3,0.39,0.11,0.14,0.0,0.0
nsis.csv,0.69,0.63,0.64,0.27,0.45,0.75,0.81,0.39,0.69,0.68,0.67,0.82,0.75,0.29,0.75,0.79
octave.csv,0.69,0.89,0.19,0.82,0.5,0.65,0.74,0.74,0.46,0.77,0.37,0.71,0.68,0.71,0.46,0.25
owfs.csv,0.92,0.97,0.88,0.45,0.73,0.55,0.63,0.74,0.92,0.84,0.91,0.87,0.86,0.76,0.98,0.35
owlib.csv,0.85,0.77,0.48,0.91,0.64,0.35,0.74,0.78,0.69,0.62,0.58,0.58,0.73,0.62,0.76,0.58
pamguard.csv,0.38,0.37,0.52,0.64,0.59,0.45,0.6,0.61,0.69,0.29,0.2,0.42,0.68,0.14,0.68,0.23
prelude.csv,0.96,0.99,0.74,0.91,1.0,0.65,0.98,0.87,0.85,0.96,0.53,0.92,0.91,0.71,0.93,0.94
robocode.csv,0.85,0.68,0.1,0.55,0.64,0.6,0.81,0.7,0.85,0.54,0.36,0.45,0.82,0.62,0.51,0.63
uwom-server.csv,0.31,0.31,0.0,0.27,0.5,0.35,0.44,0.3,0.38,0.61,0.34,0.53,0.25,0.48,0.2,0.44
zengine.csv,0.96,0.92,0.57,0.82,0.91,0.9,0.91,0.96,0.85,0.77,0.99,0.84,1.0,0.29,0.88,0.87
zildo.csv,0.65,0.61,0.26,0.64,0.23,0.25,0.47,0.35,0.54,0.43,0.16,0.18,0.7,0.29,0.58,0.79
