,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv,mplayer-ce.csv,ng4j.csv,jmule.csv
alsa.csv,0.8,0.76,0.78,1.0,0.84,1.0,1.0,0.95,0.86,0.6,0.5,0.6,0.74,0.93,0.77,0.92,1.0,0.8,0.79
arcallians.csv,0.53,0.71,0.6,0.87,0.7,0.96,0.62,0.49,0.71,0.4,0.45,0.29,0.83,0.73,0.65,0.86,0.41,0.7,0.25
arianne.csv,0.66,0.89,0.88,0.86,0.93,0.5,0.81,0.92,0.82,0.65,1.0,0.96,0.88,0.95,0.5,0.89,0.91,0.9,0.71
aztec.csv,0.15,0.5,0.16,0.19,0.68,0.75,0.44,0.55,0.31,0.7,0.6,0.43,0.19,0.34,0.0,0.05,0.73,0.4,0.38
bl-toolkit.csv,0.74,0.73,0.66,0.49,1.0,0.92,0.69,1.0,0.76,1.0,1.0,0.99,0.94,0.51,1.0,1.0,1.0,1.0,0.79
clamav.csv,0.36,0.6,0.42,0.52,0.77,0.33,0.75,0.98,0.16,0.85,0.7,0.72,0.65,0.65,0.77,0.38,0.61,0.4,0.54
gnupdate.csv,0.36,0.4,0.1,0.14,0.55,0.33,0.25,0.08,0.86,0.35,0.75,0.4,0.55,0.29,0.19,0.35,0.04,0.6,1.0
jmule.csv,0.65,0.79,0.7,0.8,0.77,0.54,0.94,1.0,0.96,0.55,0.9,0.68,0.81,0.8,0.5,0.89,1.0,0.75,0.83
les-indemodables.csv,0.92,0.54,0.28,0.49,0.93,0.96,0.56,0.86,0.98,0.35,0.55,0.46,0.64,0.65,0.58,0.59,0.84,0.75,1.0
mbse.csv,0.61,0.69,0.18,0.48,0.89,0.88,0.75,0.69,0.9,0.7,0.65,0.88,0.89,0.68,0.77,0.46,0.61,0.55,1.0
mplayer-ce.csv,0.82,0.81,0.84,0.81,0.82,0.38,0.94,0.58,0.8,0.15,0.4,0.35,0.29,0.77,0.85,0.81,0.6,0.7,0.5
ng4j.csv,0.31,0.57,0.52,0.84,0.5,0.12,0.69,0.42,0.78,0.5,0.75,0.51,0.65,0.6,0.42,0.84,0.53,0.8,0.62
ns-3-dev-def-routing.csv,0.5,0.55,0.62,0.58,0.73,0.54,0.5,1.0,0.61,0.35,0.65,0.58,0.54,0.61,0.58,0.78,0.95,0.5,0.08
openxava.csv,0.4,0.48,0.12,0.07,0.27,0.38,0.94,0.26,0.69,0.75,0.3,0.58,0.47,0.32,0.38,0.51,0.3,0.4,0.92
phonon-vlc-mplayer.csv,0.58,0.67,0.96,0.88,0.66,0.79,0.56,1.0,0.69,0.35,0.9,0.6,0.78,0.79,0.65,0.89,1.0,0.8,0.12
qgis.csv,0.29,0.65,0.36,0.81,0.45,0.04,0.62,0.0,0.59,0.25,0.0,0.0,0.43,0.67,0.65,0.86,0.01,0.4,0.0
vars-redux.csv,0.67,0.56,0.82,0.52,0.64,0.25,0.81,0.94,0.8,0.95,0.2,0.29,0.66,0.61,0.65,0.95,0.75,0.45,0.71
xapian.csv,0.82,0.69,0.8,0.88,0.55,0.33,0.81,0.88,0.84,0.2,0.5,0.26,0.72,0.87,0.62,0.49,0.67,0.5,0.67
yafdotnet.csv,0.71,0.71,0.34,0.51,0.64,0.38,0.94,0.72,0.92,0.05,0.3,0.42,0.72,0.61,0.62,0.54,0.47,0.6,0.92
