,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv,mplayer-ce.csv,ng4j.csv,jmule.csv
alsa.csv,0.63,0.63,0.76,0.45,0.69,0.14,0.2,0.41,0.6,0.44,0.38,0.66,0.6,0.57,0.52,0.54,0.62,0.48,0.59
arcallians.csv,0.53,0.64,0.7,0.67,0.72,0.15,0.14,0.44,0.55,0.4,0.47,0.4,0.62,0.59,0.46,0.53,0.46,0.44,0.38
arianne.csv,0.7,0.65,0.76,0.43,0.66,0.12,0.17,0.4,0.59,0.46,0.33,0.76,0.58,0.58,0.46,0.56,0.61,0.44,0.59
aztec.csv,0.22,0.5,0.27,0.31,0.65,0.36,0.25,0.46,0.38,0.53,0.42,0.52,0.29,0.41,0.0,0.1,0.55,0.36,0.53
bl-toolkit.csv,0.6,0.54,0.76,0.27,0.69,0.13,0.24,0.4,0.57,0.53,0.32,0.77,0.59,0.41,0.37,0.53,0.62,0.4,0.57
clamav.csv,0.43,0.59,0.54,0.32,0.62,0.06,0.27,0.39,0.24,0.68,0.33,0.69,0.57,0.49,0.34,0.41,0.53,0.28,0.47
gnupdate.csv,0.43,0.4,0.18,0.18,0.53,0.26,0.36,0.14,0.62,0.34,0.64,0.51,0.51,0.34,0.18,0.35,0.07,0.41,0.62
jmule.csv,0.62,0.64,0.77,0.66,0.71,0.28,0.19,0.4,0.62,0.56,0.4,0.7,0.64,0.6,0.46,0.58,0.62,0.58,0.83
les-indemodables.csv,0.66,0.55,0.42,0.4,0.68,0.14,0.14,0.45,0.59,0.44,0.42,0.57,0.61,0.51,0.38,0.55,0.6,0.36,0.67
mbse.csv,0.53,0.56,0.3,0.26,0.66,0.13,0.27,0.49,0.58,0.45,0.31,0.76,0.62,0.48,0.34,0.45,0.52,0.32,0.62
mplayer-ce.csv,0.65,0.7,0.76,0.47,0.76,0.16,0.19,0.43,0.55,0.24,0.34,0.46,0.35,0.56,0.44,0.55,0.59,0.41,0.46
ng4j.csv,0.39,0.61,0.64,0.63,0.59,0.18,0.23,0.43,0.64,0.57,0.54,0.58,0.59,0.52,0.32,0.54,0.48,0.7,0.71
ns-3-dev-def-routing.csv,0.55,0.62,0.71,0.62,0.71,0.21,0.14,0.4,0.57,0.4,0.3,0.63,0.52,0.56,0.65,0.53,0.63,0.38,0.14
openxava.csv,0.46,0.51,0.21,0.07,0.36,0.09,0.37,0.31,0.6,0.55,0.2,0.62,0.48,0.39,0.26,0.56,0.37,0.35,0.62
phonon-vlc-mplayer.csv,0.61,0.63,0.83,0.72,0.67,0.26,0.13,0.4,0.61,0.34,0.48,0.62,0.58,0.57,0.56,0.53,0.62,0.5,0.22
qgis.csv,0.37,0.68,0.48,0.59,0.56,0.05,0.14,0.0,0.57,0.32,0.0,0.0,0.46,0.59,0.46,0.58,0.03,0.38,0.0
vars-redux.csv,0.63,0.63,0.79,0.36,0.57,0.09,0.26,0.4,0.67,0.56,0.15,0.42,0.61,0.54,0.39,0.6,0.58,0.37,0.63
xapian.csv,0.68,0.64,0.73,0.6,0.57,0.07,0.17,0.43,0.57,0.26,0.33,0.38,0.53,0.55,0.53,0.43,0.55,0.33,0.55
yafdotnet.csv,0.61,0.63,0.48,0.34,0.59,0.09,0.31,0.49,0.6,0.08,0.29,0.53,0.68,0.49,0.45,0.59,0.48,0.42,0.68
