,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv,mplayer-ce.csv,ng4j.csv,jmule.csv
alsa.csv,7.0,0.0,3.0,25.0,0.0,47.0,31.0,0.0,12.0,8.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,9.0,4.0
arcallians.csv,0.0,0.0,0.0,7.0,0.0,46.0,32.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,12.0,1.0
arianne.csv,0.0,0.0,0.0,15.0,0.0,19.0,62.0,0.0,2.0,7.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0
aztec.csv,0.0,0.0,0.0,0.0,0.0,9.0,19.0,2.0,0.0,4.0,0.0,1.0,4.0,3.0,113.0,0.0,5.0,6.0,0.0
bl-toolkit.csv,4.0,0.0,0.0,24.0,0.0,47.0,41.0,0.0,0.0,13.0,2.0,0.0,9.0,2.0,1.0,0.0,0.0,1.0,7.0
clamav.csv,0.0,1.0,0.0,9.0,0.0,51.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,4.0,9.0,3.0,0.0,17.0,7.0
gnupdate.csv,6.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,2.0,4.0,0.0,0.0,6.0,3.0,1.0,7.0,0.0,10.0,7.0
jmule.csv,3.0,0.0,1.0,3.0,0.0,8.0,33.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0
les-indemodables.csv,0.0,3.0,0.0,0.0,0.0,45.0,80.0,7.0,2.0,0.0,4.0,1.0,2.0,3.0,9.0,1.0,0.0,1.0,6.0
mbse.csv,6.0,0.0,0.0,17.0,0.0,43.0,1.0,2.0,12.0,13.0,2.0,0.0,2.0,4.0,2.0,12.0,1.0,7.0,7.0
mplayer-ce.csv,0.0,0.0,0.0,20.0,0.0,22.0,33.0,0.0,2.0,1.0,9.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0
ng4j.csv,2.0,0.0,3.0,5.0,3.0,0.0,8.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,8.0,2.0,0.0,4.0,0.0
ns-3-dev-def-routing.csv,2.0,0.0,1.0,5.0,0.0,6.0,86.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0
openxava.csv,1.0,2.0,0.0,4.0,0.0,20.0,0.0,0.0,3.0,3.0,18.0,0.0,2.0,0.0,6.0,1.0,2.0,1.0,5.0
phonon-vlc-mplayer.csv,2.0,0.0,0.0,9.0,0.0,13.0,93.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
qgis.csv,0.0,0.0,0.0,22.0,0.0,14.0,33.0,262.0,3.0,2.0,105.0,259.0,2.0,1.0,3.0,0.0,0.0,1.0,52.0
vars-redux.csv,5.0,0.0,2.0,7.0,2.0,41.0,3.0,0.0,1.0,7.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0
xapian.csv,0.0,0.0,0.0,22.0,0.0,81.0,33.0,0.0,2.0,7.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,7.0
yafdotnet.csv,0.0,0.0,0.0,2.0,0.0,20.0,1.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0
