,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,0.0,0.77,0.35,0.48,0.42,0.73,0.49,0.11,0.51,0.31,0.18,0.76,0.28
bdbbasic.csv,0.49,1.0,0.34,0.31,0.54,0.66,0.33,0.12,0.34,0.31,0.39,0.0,0.19
foursquared.csv,0.0,1.0,0.33,0.66,0.0,0.75,0.7,0.0,0.63,0.64,0.38,1.0,0.0
impala.csv,0.68,0.69,0.27,0.36,0.27,0.54,0.34,0.22,0.31,0.28,0.22,0.8,0.23
jicarilla.csv,0.76,0.33,0.25,0.0,0.0,0.31,0.25,0.0,0.15,0.17,0.0,0.0,0.08
ng4j.csv,0.16,0.76,0.39,0.46,0.57,0.84,0.5,0.07,0.42,0.31,0.25,0.86,0.55
open-data-kit.csv,0.24,0.76,0.34,0.34,0.28,0.87,0.48,0.09,0.37,0.31,0.25,0.81,0.3
pentahoanalysistool.csv,0.36,0.74,0.61,0.55,0.56,0.76,0.57,0.09,0.38,0.57,0.14,0.68,0.45
tradelink.csv,0.51,0.74,0.36,0.4,0.69,0.64,0.38,0.1,0.35,0.82,0.32,0.9,0.37
turbotrader-bos.csv,0.0,0.75,0.39,0.64,0.57,0.86,0.68,0.11,0.58,0.47,0.28,0.83,0.5
ultimairis.csv,0.26,0.7,0.41,0.43,0.41,0.82,0.49,0.12,0.45,0.6,0.24,0.78,0.45
wikipediardware.csv,0.48,0.68,0.36,0.35,0.35,0.64,0.43,0.12,0.35,0.3,0.18,0.93,0.28
yafdotnet.csv,0.36,0.76,0.39,0.38,0.57,0.66,0.67,0.09,0.37,0.33,0.22,1.0,0.28
