,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,0.0,0.72,0.46,0.62,0.56,0.58,0.57,0.17,0.6,0.36,0.25,0.72,0.39
bdbbasic.csv,0.66,0.02,0.49,0.42,0.62,0.74,0.38,0.19,0.45,0.43,0.38,0.0,0.25
foursquared.csv,0.0,0.04,0.07,0.75,0.0,0.08,0.24,0.0,0.57,0.3,0.31,0.15,0.0
impala.csv,0.71,0.62,0.32,0.35,0.31,0.41,0.37,0.31,0.37,0.4,0.34,0.63,0.33
jicarilla.csv,0.82,0.02,0.19,0.0,0.0,0.09,0.06,0.0,0.11,0.16,0.0,0.0,0.06
ng4j.csv,0.12,0.59,0.52,0.62,0.62,0.67,0.59,0.11,0.56,0.43,0.36,0.63,0.65
open-data-kit.csv,0.21,0.61,0.5,0.51,0.44,0.82,0.63,0.14,0.53,0.46,0.38,0.66,0.45
pentahoanalysistool.csv,0.18,0.59,0.67,0.6,0.51,0.51,0.31,0.15,0.42,0.15,0.15,0.61,0.32
tradelink.csv,0.54,0.45,0.51,0.54,0.56,0.64,0.43,0.17,0.49,0.31,0.43,0.38,0.44
turbotrader-bos.csv,0.0,0.67,0.49,0.61,0.62,0.37,0.4,0.17,0.63,0.23,0.37,0.4,0.47
ultimairis.csv,0.23,0.76,0.56,0.59,0.5,0.71,0.55,0.19,0.58,0.62,0.35,0.84,0.53
wikipediardware.csv,0.64,0.78,0.51,0.52,0.51,0.74,0.6,0.22,0.51,0.45,0.29,0.82,0.43
yafdotnet.csv,0.33,0.66,0.53,0.55,0.48,0.69,0.68,0.16,0.5,0.44,0.3,0.19,0.39
