,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.97,0.96,0.91,0.62,0.91,0.76,0.46,0.58,0.5,0.61,0.4,0.99,0.85
bscwweasel.csv,0.0,0.75,0.95,0.94,0.82,0.92,0.0,0.9,0.0,0.97,0.0,0.94,0.83
capcode.csv,0.0,0.9,0.95,0.95,0.0,0.91,0.5,0.85,0.94,0.96,0.89,0.98,0.96
emite.csv,0.5,0.48,0.54,0.47,0.41,0.41,0.69,0.57,0.54,0.46,0.55,0.59,0.53
geogebra.csv,0.75,0.88,0.69,0.53,0.5,0.47,0.92,0.37,0.54,0.53,0.5,0.77,0.51
hibernate.csv,0.97,0.95,0.68,0.62,0.48,0.64,0.9,0.74,0.58,0.73,0.85,0.67,0.66
lamp.csv,0.0,0.92,0.93,0.93,0.62,0.5,0.93,0.83,0.72,0.99,0.0,0.72,0.94
nodal.csv,0.67,0.96,0.67,0.74,0.6,0.52,0.9,0.95,0.77,0.81,0.83,0.72,0.95
retromenu.csv,0.97,0.9,0.95,0.93,0.5,0.67,0.92,0.86,0.75,0.98,0.0,0.71,0.83
smbopensoft.csv,0.42,0.56,0.48,0.88,0.36,0.46,0.4,0.47,0.48,0.56,0.76,0.53,0.61
stuproa-cims.csv,0.28,0.54,0.48,0.53,0.35,0.37,0.39,0.78,0.33,0.46,0.41,0.41,0.42
thout.csv,0.89,0.74,0.76,0.68,0.49,0.42,0.58,0.53,0.71,0.59,0.65,0.68,0.69
uface.csv,0.27,0.4,0.47,0.42,0.34,0.43,0.38,0.36,0.31,0.4,0.36,0.41,0.38
