,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.73,0.94,0.71,0.72,0.93,0.67,0.03,0.8,0.62,0.78,0.76,0.87,0.86
bscwweasel.csv,1.0,0.93,0.8,0.2,0.72,0.68,1.0,0.85,1.0,0.89,1.0,0.92,0.94
capcode.csv,1.0,0.86,0.87,0.69,1.0,0.08,0.98,0.79,0.67,0.94,0.81,0.77,0.83
emite.csv,0.99,0.59,0.52,0.59,0.48,0.61,0.74,0.67,0.62,0.61,0.06,0.53,0.66
geogebra.csv,0.96,0.86,0.78,0.89,1.01,0.88,0.91,0.99,0.67,0.86,0.91,0.07,0.93
hibernate.csv,0.77,0.94,0.66,0.68,0.49,0.86,0.94,0.71,0.79,0.04,0.84,0.56,0.74
lamp.csv,0.99,0.07,0.84,0.8,0.54,0.72,0.88,0.93,0.53,0.82,1.0,0.64,0.84
nodal.csv,0.98,0.66,0.7,0.82,0.62,0.8,0.93,0.88,0.04,0.78,0.78,0.62,0.84
retromenu.csv,0.73,0.79,0.73,0.85,0.02,0.7,0.9,0.91,0.76,0.79,1.0,0.52,0.95
smbopensoft.csv,0.05,0.63,0.52,0.81,0.45,0.59,0.63,0.79,0.67,0.66,0.63,0.58,0.69
stuproa-cims.csv,0.98,0.72,0.94,0.79,0.96,0.79,1.0,0.04,0.99,0.59,0.88,0.9,0.91
thout.csv,0.96,0.64,0.07,0.9,0.56,0.79,0.69,0.73,0.64,0.67,0.79,0.66,0.85
uface.csv,0.98,0.99,0.82,0.45,0.89,0.71,0.97,0.79,0.89,0.68,0.61,0.81,0.0
