,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,ivataopenportal.csv,elynx.csv,cascading.csv,aten.csv,xcmetadataservicestoolkit.csv,lite.csv,codepurge.csv,olex2.csv,stajistics.csv,jfreechart.csv,elvishrayrenderer.csv,uwom.csv,gisgraphy.csv
cascading.csv,0.53,0.8,0.76,0.61,0.75,1.1,0.51,0.48,0.78,0.73,0.53,0.63,0.59,1.17,0.6,0.6,0.55
codepurge.csv,0.62,1.0,0.61,0.75,0.7,0.69,0.74,0.66,0.77,0.53,0.37,0.71,0.56,1.1,0.54,0.82,0.66
crisscross.csv,0.97,1.0,0.33,0.89,0.75,0.98,0.81,1.01,1.02,0.9,0.63,0.96,0.8,0.94,1.0,0.74,0.88
elvishrayrenderer.csv,0.8,0.92,0.81,0.7,0.66,1.16,0.87,1.24,0.71,0.59,0.93,0.86,0.33,1.23,0.39,0.99,0.86
gisgraphy.csv,0.87,1.0,0.91,0.9,0.99,1.0,0.88,0.97,1.0,0.81,0.88,0.94,0.9,0.06,0.97,0.58,0.31
ivataopenportal.csv,0.72,1.0,0.77,0.86,0.4,1.15,0.8,1.02,0.89,0.93,1.0,1.0,0.76,0.97,0.7,0.9,0.92
lite.csv,0.89,0.92,0.87,0.91,0.77,0.46,0.88,0.89,0.75,0.38,0.96,0.59,0.74,1.0,0.79,0.64,1.06
mb-unit.csv,1.0,1.02,0.97,0.52,0.99,0.92,0.94,1.01,0.8,0.72,0.76,0.65,0.9,1.0,1.0,0.92,0.98
nova.csv,0.69,0.26,0.68,0.7,0.78,0.75,0.68,1.11,0.7,0.82,0.9,0.75,0.58,0.86,0.82,0.56,0.77
olex2.csv,0.63,0.68,0.59,0.63,0.94,1.01,0.63,0.95,0.47,0.82,0.85,0.36,0.8,0.99,0.78,0.74,0.95
openwbem.csv,0.5,0.7,0.62,0.64,0.72,0.47,0.69,0.54,0.55,0.77,0.81,0.64,0.78,0.9,0.71,0.43,0.63
stajistics.csv,0.75,1.06,1.0,0.68,0.67,0.78,0.64,1.0,0.77,0.57,0.61,0.88,0.45,0.95,0.8,0.97,0.71
uwom.csv,0.61,1.0,0.95,0.67,0.69,0.81,0.66,1.08,0.88,0.71,1.0,0.97,0.56,0.81,0.9,0.29,0.53
xcmetadataservicestoolkit.csv,0.72,0.81,0.96,0.65,0.82,0.86,0.73,0.54,0.33,0.88,0.69,0.71,0.85,0.96,0.57,1.01,0.97
