,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.37,0.23,0.05,0.73,0.53,0.55,0.62,0.44,0.13,0.73,0.66,0.1,0.22
avifile.csv,0.12,0.96,0.07,0.0,0.15,0.39,0.09,0.43,0.45,0.54,0.39,0.28,0.3
baadengine.csv,0.76,0.31,0.28,0.56,0.57,0.44,0.0,0.42,0.0,0.7,0.0,0.05,0.0
gdis.csv,0.61,0.23,0.45,0.0,0.6,0.49,0.59,0.5,0.58,0.0,0.43,0.49,0.84
gogoego.csv,0.25,0.0,0.28,0.92,0.59,0.48,0.74,0.53,0.47,0.55,0.64,0.5,0.7
impala.csv,0.07,0.66,0.19,0.89,0.5,0.55,0.34,0.48,0.46,0.09,0.11,0.62,0.15
jgameai.csv,0.05,0.0,0.05,0.0,0.18,0.53,0.12,0.1,0.1,0.16,0.16,0.0,0.34
jhotdraw.csv,0.51,0.57,0.6,0.78,0.13,0.58,0.0,0.24,0.64,0.41,0.62,0.38,0.54
patterntesting.csv,0.0,0.13,0.0,0.17,0.27,0.09,0.05,0.17,0.4,0.66,0.09,0.49,0.3
pokeglobal.csv,0.52,0.38,0.0,0.93,0.71,0.38,0.52,0.45,0.37,0.09,0.25,0.51,0.21
werx.csv,0.05,0.45,0.98,0.0,0.13,0.09,0.0,0.2,0.0,0.0,0.17,0.17,0.0
zealos.csv,0.57,0.43,0.72,0.0,0.24,0.65,0.7,0.53,0.62,0.66,0.45,0.19,0.62
