,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.0,0.39,0.24,0.97,0.08,0.0,0.0,0.08,0.16,0.24
flylegacy.csv,0.84,0.64,1.0,0.76,0.73,0.43,0.79,0.59,0.24,0.52
jguard.csv,0.56,0.33,0.65,0.61,0.62,0.93,0.57,0.49,0.88,0.72
m-a-d-n-e-s-s.csv,0.2,0.18,0.54,0.31,0.14,0.17,0.07,0.21,1.0,0.12
mob-sen-plat.csv,0.28,1.0,0.43,0.23,0.12,0.47,0.36,0.56,0.12,0.44
raygina.csv,0.92,0.03,0.51,0.43,0.31,0.13,0.5,0.36,0.44,0.52
st-filteredstatistics.csv,0.88,0.58,0.79,0.77,0.83,0.53,1.0,1.0,0.56,0.88
upp-mirror.csv,0.52,0.18,0.62,0.6,0.98,0.23,0.43,0.44,0.48,0.36
wishmaster.csv,0.12,0.39,0.25,0.43,0.14,0.2,0.86,0.0,0.16,0.12
yarp.csv,0.2,0.36,0.32,0.27,0.3,0.5,0.21,0.23,0.4,0.96
