,barracudamvc.csv,sevenupdate.csv,mclient-mume.csv,dxengine.csv,jsidplay2.csv,sblim.csv,springside.csv,swtfox.csv,tmva.csv,calcubetimer.csv,freedom-erp.csv,joustsim.csv,madman.csv,reaper3d.csv,primefaces.csv,chaosrts.csv
barracudamvc.csv,0.75,0.43,0.0,0.33,0.5,0.23,0.09,0.3,0.51,0.0,0.05,0.13,0.09,0.0,0.0,0.37
calcubetimer.csv,0.34,0.35,0.0,0.55,0.7,0.7,0.05,0.35,0.09,0.82,0.38,0.86,0.58,0.14,0.25,0.34
chaosrts.csv,0.57,0.48,0.46,0.42,0.26,0.26,0.68,0.61,0.74,0.44,0.41,0.57,0.69,0.63,0.4,0.77
dxengine.csv,0.24,0.17,0.52,0.78,0.3,0.74,0.49,0.58,0.33,0.0,0.0,0.46,0.72,0.61,0.53,0.14
freedom-erp.csv,0.5,0.07,0.55,0.05,0.47,0.17,0.07,0.32,0.02,0.64,0.73,0.31,0.71,0.0,0.44,0.47
joustsim.csv,0.61,0.69,0.75,0.69,0.28,0.46,0.44,0.46,0.36,0.47,0.11,0.88,0.73,0.37,0.61,0.26
jsidplay2.csv,0.25,0.07,0.23,0.13,0.81,0.06,0.02,0.32,0.32,0.56,0.38,0.29,0.14,0.14,0.0,0.47
madman.csv,0.54,0.12,0.45,0.34,0.31,0.65,0.37,0.51,0.31,0.25,0.13,0.7,0.86,0.53,0.5,0.6
mclient-mume.csv,0.49,0.39,0.87,0.51,0.09,0.59,0.49,0.02,0.56,0.11,0.0,0.11,0.41,0.52,0.34,0.37
primefaces.csv,0.2,0.42,0.0,0.09,0.55,0.5,0.5,0.0,0.0,0.48,0.19,0.0,0.0,0.0,0.77,0.6
reaper3d.csv,0.34,0.55,0.27,0.55,0.53,0.54,0.33,0.39,0.1,0.25,0.42,0.22,0.29,0.73,0.49,0.05
sblim.csv,0.06,0.02,0.71,0.72,0.2,0.78,0.0,0.0,0.36,0.13,0.16,0.6,0.5,0.15,0.26,0.11
sevenupdate.csv,0.0,0.77,0.67,0.3,0.2,0.09,0.05,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0
springside.csv,0.58,0.44,0.75,0.7,0.2,0.48,0.76,0.33,0.4,0.24,0.18,0.22,0.78,0.59,0.54,0.39
swtfox.csv,0.59,0.58,0.38,0.0,0.41,0.0,0.21,0.7,0.04,0.0,0.01,0.2,0.37,0.52,0.0,0.55
tmva.csv,0.0,0.0,0.25,0.62,0.0,0.25,0.75,0.39,0.78,0.0,0.0,0.0,0.7,0.6,0.52,0.21
