,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.56,0.62,0.54,0.48,0.53,0.34,0.08,0.82,0.17,0.9,0.62,0.0,0.63
badtrinity-zero.csv,0.42,0.0,0.66,0.0,0.53,0.15,0.06,0.0,0.22,0.83,0.76,0.85,0.64
bibletime.csv,0.56,0.53,0.64,0.57,0.49,0.22,0.16,0.62,0.17,0.83,0.96,0.8,0.56
critterding.csv,0.55,0.6,0.62,0.45,0.47,0.14,0.13,0.66,0.16,0.9,0.85,0.7,0.61
elateportal.csv,0.55,0.62,0.63,0.52,0.59,0.21,0.1,0.8,0.19,0.77,0.98,0.85,0.65
fmri-dmt.csv,0.48,0.48,0.52,0.46,0.22,0.09,0.14,0.58,0.42,0.75,0.78,0.79,0.34
ftm.csv,0.43,0.3,0.33,0.43,0.55,0.2,0.08,0.11,0.0,0.43,0.0,0.59,0.65
gusanos.csv,0.29,0.54,0.55,0.57,0.52,0.28,0.12,0.84,0.19,0.83,0.51,0.0,0.18
monetdb.csv,0.47,0.5,0.42,0.38,0.62,0.28,0.13,0.6,0.0,0.09,0.17,0.39,0.55
quarkplayer.csv,0.39,0.2,0.44,0.38,0.07,0.1,0.23,0.1,0.19,0.47,0.0,0.3,0.16
reactos-mirror.csv,0.62,0.64,0.58,0.57,0.57,0.19,0.17,0.71,0.16,0.85,0.97,0.85,0.19
sandiaportals.csv,0.51,0.6,0.51,0.54,0.52,0.19,0.14,0.74,0.17,0.85,0.0,0.85,0.63
xbplayer.csv,0.4,0.49,0.6,0.55,0.57,0.23,0.09,0.67,0.14,0.66,0.9,0.63,0.51
