,gotjava.csv,empserver.csv,ctrlr.csv,anaxagora.csv,gmerlin.csv,ffigo.csv,skia.csv,zemljanka.csv,wikipediardware.csv
anaxagora.csv,1.01,0.92,0.82,0.1,0.85,0.84,0.75,0.87,0.97
ctrlr.csv,1.0,0.92,0.06,0.82,0.7,0.62,0.87,0.91,0.92
empserver.csv,0.7,0.03,0.96,0.79,0.67,0.62,0.6,0.75,0.51
ffigo.csv,1.02,0.45,0.58,0.71,0.69,0.05,0.9,0.78,0.94
gmerlin.csv,1.13,0.89,0.91,0.82,0.03,0.91,0.67,0.76,0.92
skia.csv,0.31,0.83,0.92,0.65,0.78,0.94,0.09,0.69,0.95
wikipediardware.csv,0.87,0.95,0.87,0.85,0.81,0.83,0.91,0.79,0.07
zemljanka.csv,0.99,0.92,0.97,0.94,0.89,0.97,0.87,0.0,0.79
