,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.43,0.66,0.52,0.59,0.47,0.76,0.84,0.22,0.3,0.17,0.17,0.28,0.24,0.65,0.27
cme.csv,0.0,0.05,0.02,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.06,0.11,0.91
hydrate.csv,0.74,0.73,0.62,0.53,0.48,0.19,0.71,0.2,0.36,0.58,0.26,0.82,0.72,0.79,0.21
ivef-sdk.csv,0.27,0.02,0.55,0.0,0.35,1.0,0.24,0.0,0.42,0.62,0.0,0.64,0.41,0.0,0.2
jmri.csv,0.57,0.42,0.58,0.2,0.12,0.69,0.44,0.41,0.36,0.36,0.32,0.43,0.25,0.36,0.17
jython.csv,0.74,0.62,0.62,0.79,0.47,0.99,0.45,0.71,0.51,0.5,0.22,0.64,0.5,0.58,0.18
kdenlive.csv,0.81,0.78,0.57,0.59,0.49,0.42,0.59,0.23,0.51,0.51,0.22,0.73,0.58,0.81,0.2
opentibia.csv,0.8,0.97,0.62,0.55,0.45,0.18,0.41,0.25,0.41,0.32,0.24,0.54,0.56,0.74,0.23
projectfactory.csv,0.24,0.49,0.46,0.0,0.43,0.12,0.37,0.23,0.43,0.63,0.27,0.31,0.57,0.77,0.35
runuomondains.csv,0.48,0.42,0.57,0.24,0.15,0.2,0.48,0.45,0.44,0.46,0.36,0.31,0.19,0.33,0.21
somap.csv,0.78,0.92,0.64,0.76,0.51,0.82,0.67,0.23,0.41,0.64,0.22,0.95,0.77,0.78,0.16
taverna.csv,0.1,0.25,0.07,0.0,0.67,0.03,0.36,0.03,0.21,0.45,0.17,0.15,0.64,0.11,0.0
tigermud.csv,0.52,0.53,0.6,0.17,0.48,0.46,0.36,0.16,0.17,0.25,0.29,0.46,0.71,0.72,0.17
unbvision.csv,0.59,0.38,0.36,0.2,0.13,0.11,0.35,0.65,0.51,0.34,0.22,0.15,0.27,0.41,0.2
x-ray-mule.csv,0.28,0.21,0.4,0.79,0.46,0.0,0.15,0.24,0.35,0.6,0.0,0.68,0.52,0.11,0.14
