,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.41,0.44,0.3,0.44,0.39,0.43,0.32,0.26,0.49,0.34,0.43,0.27,0.36,0.37,0.26
cme.csv,0.42,0.43,0.37,0.46,0.39,0.43,0.41,0.26,0.49,0.38,0.42,0.33,0.39,0.35,0.28
hydrate.csv,0.22,0.24,0.29,0.22,0.34,0.16,0.34,0.24,0.3,0.29,0.27,0.22,0.23,0.25,0.25
ivef-sdk.csv,0.41,0.43,0.36,0.46,0.34,0.42,0.34,0.26,0.38,0.38,0.42,0.32,0.38,0.37,0.35
jmri.csv,0.15,0.14,0.24,0.14,0.16,0.3,0.26,0.26,0.11,0.16,0.21,0.18,0.23,0.15,0.28
jython.csv,0.33,0.22,0.34,0.44,0.36,0.42,0.34,0.25,0.26,0.29,0.39,0.29,0.3,0.27,0.35
kdenlive.csv,0.25,0.26,0.22,0.26,0.24,0.23,0.26,0.26,0.31,0.21,0.4,0.21,0.16,0.31,0.26
opentibia.csv,0.3,0.4,0.25,0.32,0.25,0.09,0.24,0.26,0.16,0.13,0.3,0.17,0.2,0.29,0.23
projectfactory.csv,0.27,0.23,0.2,0.44,0.19,0.11,0.21,0.26,0.27,0.26,0.3,0.15,0.29,0.35,0.19
runuomondains.csv,0.14,0.13,0.26,0.12,0.17,0.08,0.32,0.26,0.12,0.29,0.31,0.14,0.11,0.15,0.23
somap.csv,0.42,0.43,0.35,0.44,0.39,0.43,0.41,0.26,0.49,0.38,0.42,0.33,0.43,0.37,0.39
taverna.csv,0.35,0.18,0.36,0.46,0.25,0.41,0.37,0.19,0.12,0.22,0.33,0.28,0.41,0.37,0.39
tigermud.csv,0.38,0.27,0.33,0.2,0.3,0.32,0.22,0.24,0.44,0.15,0.22,0.19,0.39,0.27,0.28
unbvision.csv,0.16,0.13,0.14,0.14,0.15,0.23,0.22,0.25,0.15,0.13,0.19,0.24,0.11,0.15,0.32
x-ray-mule.csv,0.17,0.34,0.31,0.4,0.38,0.43,0.25,0.26,0.46,0.38,0.4,0.33,0.36,0.37,0.3
