,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.49,0.82,0.47,0.71,0.33,0.69,0.9,0.12,0.21,0.57,0.1,0.92,0.83,0.57,0.18
cme.csv,0.0,1.0,0.67,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.83
hydrate.csv,0.77,0.93,0.49,0.56,0.33,0.28,0.57,0.12,0.25,0.48,0.15,0.93,0.75,0.72,0.12
ivef-sdk.csv,0.54,0.5,0.51,0.0,0.29,1.0,0.24,0.0,0.28,0.49,0.0,0.86,0.52,0.0,0.11
jmri.csv,0.88,0.96,0.64,0.4,0.13,0.97,0.43,0.41,0.57,0.59,0.24,0.91,1.0,0.73,0.1
jython.csv,0.69,0.93,0.56,0.65,0.33,0.99,0.4,0.7,0.36,0.51,0.13,0.86,0.6,0.65,0.1
kdenlive.csv,0.77,0.89,0.51,0.53,0.36,0.47,0.55,0.13,0.35,0.5,0.12,0.92,0.71,0.69,0.11
opentibia.csv,0.72,0.93,0.55,0.53,0.34,0.58,0.4,0.14,0.39,0.53,0.14,0.96,0.65,0.64,0.13
projectfactory.csv,0.71,0.96,0.56,0.0,0.46,0.31,0.48,0.13,0.31,0.65,0.16,1.0,0.59,0.67,0.22
runuomondains.csv,0.86,0.96,0.62,0.42,0.16,0.62,0.43,0.5,0.55,0.45,0.67,1.0,0.5,0.7,0.12
somap.csv,0.65,0.87,0.48,0.61,0.34,0.69,0.5,0.13,0.26,0.48,0.12,0.92,0.62,0.63,0.09
taverna.csv,0.67,0.92,0.57,0.0,0.71,1.0,0.53,0.02,0.28,0.56,0.25,1.0,0.62,1.0,0.0
tigermud.csv,0.57,0.91,0.5,0.6,0.37,0.52,0.45,0.09,0.25,0.44,0.19,0.96,0.64,0.69,0.1
unbvision.csv,0.97,0.95,0.64,0.4,0.17,0.8,0.38,0.59,0.62,0.64,0.16,0.86,0.6,0.82,0.11
x-ray-mule.csv,0.59,0.91,0.5,0.76,0.36,0.0,0.19,1.0,0.23,0.49,0.0,0.89,0.65,0.5,0.09
