,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.38,0.55,0.6,0.5,0.81,0.84,0.79,0.95,0.5,0.1,0.75,0.17,0.14,0.76,0.6
cme.csv,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.03,0.06,1.0
hydrate.csv,0.7,0.6,0.86,0.5,0.89,0.15,0.94,0.86,0.63,0.72,0.75,0.74,0.69,0.88,1.0
ivef-sdk.csv,0.18,0.01,0.59,0.0,0.44,1.0,0.24,0.0,0.87,0.82,0.0,0.51,0.34,0.0,0.8
jmri.csv,0.42,0.27,0.53,0.13,0.11,0.54,0.45,0.41,0.27,0.26,0.5,0.28,0.14,0.24,0.8
jython.csv,0.8,0.47,0.69,1.0,0.78,1.0,0.52,0.73,0.83,0.49,0.75,0.51,0.43,0.52,1.0
kdenlive.csv,0.86,0.7,0.65,0.67,0.74,0.37,0.64,1.0,0.97,0.51,1.0,0.61,0.49,1.0,1.0
opentibia.csv,0.89,1.0,0.71,0.57,0.67,0.1,0.42,0.95,0.43,0.23,0.88,0.38,0.49,0.88,1.0
projectfactory.csv,0.14,0.33,0.39,0.0,0.41,0.07,0.3,1.0,0.67,0.62,0.88,0.18,0.54,0.91,0.8
runuomondains.csv,0.34,0.27,0.53,0.17,0.15,0.12,0.55,0.41,0.37,0.46,0.25,0.18,0.11,0.21,0.6
somap.csv,1.0,0.98,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0
taverna.csv,0.06,0.14,0.04,0.0,0.63,0.01,0.27,0.09,0.17,0.38,0.12,0.08,0.66,0.06,0.0
tigermud.csv,0.48,0.37,0.75,0.1,0.7,0.42,0.3,0.64,0.13,0.18,0.62,0.31,0.8,0.76,0.8
unbvision.csv,0.42,0.24,0.25,0.13,0.11,0.06,0.33,0.73,0.43,0.23,0.38,0.08,0.17,0.27,1.0
x-ray-mule.csv,0.18,0.12,0.33,0.83,0.63,0.0,0.12,0.14,0.73,0.77,0.0,0.56,0.43,0.06,0.4
