,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.95,0.95,0.72,0.58,0.85,0.85,0.23,0.99,0.83,0.9,0.98,0.85,0.86,1.03,0.48
cme.csv,1.0,0.98,0.99,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.01,1.0,0.97,0.94,0.02
hydrate.csv,0.49,0.52,0.81,0.78,0.91,1.21,0.66,0.99,0.75,0.75,0.61,0.72,0.49,0.59,0.73
ivef-sdk.csv,0.86,0.99,0.65,1.0,0.79,0.0,1.04,1.0,0.8,0.79,1.0,1.11,0.84,1.0,0.65
jmri.csv,0.59,0.74,0.54,0.92,0.97,0.46,0.79,0.6,0.74,0.76,0.55,0.8,0.86,0.77,0.76
jython.csv,0.7,0.59,0.58,0.8,0.82,0.03,0.86,0.28,0.54,0.66,0.72,1.11,0.74,0.68,0.88
kdenlive.csv,0.48,0.66,0.65,0.96,0.71,1.12,0.61,1.0,0.65,0.67,0.95,0.77,0.61,0.79,0.75
opentibia.csv,0.63,0.5,0.6,0.87,0.74,0.91,0.83,0.85,0.61,0.79,0.74,0.65,0.67,0.85,0.65
projectfactory.csv,0.87,0.68,0.67,1.0,0.64,1.0,0.76,1.0,0.62,0.49,0.64,0.82,0.77,0.79,0.34
runuomondains.csv,0.67,0.74,0.55,0.9,0.94,0.9,0.82,0.59,0.64,0.74,0.75,0.82,0.91,0.8,0.57
somap.csv,1.0,1.0,0.91,0.95,0.98,1.0,0.94,1.0,1.0,1.0,0.98,1.0,1.0,1.0,0.98
taverna.csv,0.95,0.86,0.96,1.0,0.39,0.99,0.76,1.26,0.85,0.68,0.88,0.92,0.75,0.94,1.0
tigermud.csv,0.85,0.67,0.72,0.91,0.69,1.04,0.78,1.01,0.88,0.85,0.52,0.71,0.79,0.63,0.74
unbvision.csv,0.58,0.76,0.76,0.92,0.93,0.94,0.84,0.28,0.57,0.78,0.68,0.93,0.85,0.73,0.75
x-ray-mule.csv,0.85,0.88,0.73,0.43,0.68,1.0,1.0,0.86,0.9,0.76,1.0,0.94,0.69,0.95,0.72
