,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,0.39,0.4,0.35,0.4,0.35,0.36,0.38,0.33,0.37,0.35,0.45,0.41,0.4
fido.csv,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fleet-simulator.csv,0.33,0.37,0.35,0.41,0.32,0.31,0.33,0.33,0.32,0.3,0.44,0.38,0.35
fluent-nhibernate.csv,0.8,0.86,0.5,0.0,0.95,0.0,0.75,0.95,0.67,0.67,0.0,0.93,0.92
galaxium.csv,0.7,0.48,0.64,0.53,0.81,0.43,0.56,0.53,0.43,0.39,0.86,0.77,0.61
itext.csv,0.38,0.96,0.57,0.45,0.54,0.86,0.85,0.49,0.75,0.89,0.5,0.83,0.54
mecat.csv,0.5,0.0,0.5,0.0,0.92,0.0,0.0,0.86,0.67,0.0,0.0,0.0,0.0
mediaportal.csv,0.5,0.37,0.63,0.94,0.62,0.37,0.55,0.93,0.38,0.34,0.42,0.49,0.45
ninject.csv,0.47,0.56,0.9,0.8,0.69,0.39,0.68,0.79,0.38,0.33,0.8,0.69,0.68
smartgwt.csv,0.42,0.87,0.63,0.57,0.55,0.89,0.44,0.58,0.58,0.65,0.57,0.65,0.79
sqlpower-library.csv,0.42,0.4,0.42,0.42,0.61,0.54,0.42,0.36,0.38,0.38,0.78,0.55,0.52
stuproa-cims.csv,0.43,0.8,0.53,0.49,0.57,0.39,0.72,0.45,0.36,0.41,0.44,0.56,0.44
uface.csv,0.37,0.34,0.42,0.52,0.3,0.41,0.33,0.38,0.35,0.33,0.39,0.45,0.37
