,kmatplot.csv,raygina.csv,mob-sen-plat.csv,applet2app.csv,upp-mirror.csv,cities3d.csv,pidgin.csv,mscore.csv,wishmaster.csv,riff-evolve.csv,lphant.csv,autowikibrowser.csv,quickfast.csv,libarchive.csv
applet2app.csv,0.28,0.56,0.35,0.0,0.46,0.67,0.53,0.33,0.33,0.31,0.39,0.54,0.16,0.5
autowikibrowser.csv,0.29,0.63,0.15,0.38,0.51,0.48,0.53,0.26,0.44,0.18,0.15,0.0,0.41,0.51
cities3d.csv,0.28,0.07,0.2,0.84,0.15,0.0,0.14,0.13,0.34,0.77,0.09,0.07,0.25,0.18
kmatplot.csv,0.0,0.21,0.1,0.15,0.39,0.15,0.16,0.16,0.2,0.18,0.18,0.17,0.06,0.29
libarchive.csv,0.6,0.35,0.0,0.4,0.46,0.31,0.33,0.24,0.39,0.27,0.27,0.33,0.28,0.0
lphant.csv,0.31,0.3,0.15,0.5,0.46,0.55,0.22,0.29,0.48,0.57,0.03,0.46,0.25,0.26
mob-sen-plat.csv,0.57,0.79,0.0,0.57,0.66,0.65,0.48,0.35,0.49,0.55,0.58,0.44,0.59,0.19
mscore.csv,0.6,0.81,0.25,0.49,0.59,0.44,0.47,0.01,0.66,0.52,0.27,0.46,0.56,0.65
pidgin.csv,0.47,0.49,0.3,0.58,0.56,0.62,0.02,0.4,0.51,0.45,0.61,0.33,0.41,0.21
quickfast.csv,0.59,0.42,0.25,0.45,0.49,0.4,0.36,0.45,0.52,0.42,0.7,0.48,0.0,0.41
raygina.csv,0.48,0.0,0.15,0.27,0.17,0.29,0.8,0.25,0.31,0.16,0.18,0.11,0.19,0.84
riff-evolve.csv,0.41,0.35,0.1,0.38,0.39,0.22,0.97,0.46,0.57,0.04,0.36,0.3,0.38,0.94
upp-mirror.csv,0.43,0.23,0.05,0.13,0.0,0.35,0.23,0.16,0.25,0.25,0.12,0.37,0.31,0.28
wishmaster.csv,0.24,0.14,0.2,0.07,0.17,0.07,0.23,0.26,0.0,0.02,0.15,0.37,0.0,0.49
