,scen-connect.csv,bwapi.csv,ontopia.csv,smartgwt.csv,adobe-source.csv,lite.csv,gisgraphy.csv
adobe-source.csv,0.0,0.13,0.72,0.51,0.83,0.0,0.42
bwapi.csv,0.1,0.98,0.77,0.45,0.31,0.43,0.38
gisgraphy.csv,0.0,0.29,0.69,0.16,0.18,0.33,0.95
lite.csv,0.0,0.28,0.32,0.65,0.08,1.0,0.06
ontopia.csv,0.03,0.86,0.99,0.39,0.31,0.39,0.5
smartgwt.csv,0.06,0.69,0.31,0.96,0.21,0.38,0.45
