,thout.csv,psrchive.csv,jvcl.csv,zact.csv,sarasvati.csv,liferea.csv,kwave.csv,blogentis.csv,checker-framework.csv,fontforge.csv,magicwars.csv,lockss.csv,stuproa-cims.csv,ctrlr.csv,gusanos.csv,pydev.csv,cme.csv
blogentis.csv,0.48,0.38,0.55,0.33,0.4,0.2,0.55,0.97,0.55,0.46,0.28,0.45,0.42,0.36,0.44,0.57,0.75
checker-framework.csv,0.46,0.0,0.67,0.17,0.32,0.43,0.36,0.43,1.0,0.0,0.23,0.11,0.18,0.0,0.01,0.38,0.43
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ctrlr.csv,0.09,0.0,0.0,0.33,0.0,0.6,0.23,0.0,0.1,0.05,0.34,0.0,0.0,0.84,0.26,0.1,0.45
fontforge.csv,0.13,0.41,0.46,0.17,0.31,0.43,0.23,0.25,0.58,0.93,0.22,0.41,0.16,0.0,0.25,0.17,0.96
gusanos.csv,0.58,0.55,0.43,0.47,0.58,0.55,0.52,0.53,0.65,0.44,0.55,0.6,0.65,0.17,1.0,0.57,0.42
jvcl.csv,0.09,0.0,0.74,0.33,0.11,0.18,0.0,0.05,0.4,0.15,0.15,0.0,0.09,0.06,0.01,0.26,0.0
kwave.csv,0.56,0.33,0.64,0.46,0.41,0.55,0.9,0.29,0.43,0.14,0.33,0.54,0.18,0.06,0.29,0.37,0.44
liferea.csv,0.46,0.33,0.63,0.46,0.5,0.93,0.23,0.5,0.63,0.61,0.31,0.62,0.33,0.06,0.35,0.52,0.43
lockss.csv,0.31,0.0,0.48,0.17,0.41,0.35,0.0,0.1,0.1,0.2,0.1,0.93,0.05,0.17,0.07,0.17,0.0
magicwars.csv,0.37,0.0,0.38,0.47,0.4,0.0,0.09,0.27,0.09,0.0,0.98,0.13,0.43,0.0,0.0,0.32,0.24
psrchive.csv,0.21,0.88,0.44,0.0,0.58,0.0,0.29,0.44,0.28,0.1,0.39,0.51,0.41,0.12,0.12,0.57,0.0
pydev.csv,0.46,0.48,0.54,0.0,0.41,0.51,0.35,0.2,0.62,0.69,0.39,0.64,0.35,0.06,0.27,1.0,0.72
sarasvati.csv,0.13,0.0,0.0,0.17,1.0,0.18,0.5,0.05,0.49,0.0,0.2,0.51,0.31,0.36,0.22,0.26,0.0
stuproa-cims.csv,0.37,0.46,0.05,0.49,0.61,0.0,0.64,0.57,0.77,0.0,0.47,0.56,0.96,0.5,0.0,0.5,0.47
thout.csv,0.88,0.52,0.61,0.31,0.48,0.49,0.63,0.48,0.44,0.42,0.35,0.56,0.46,0.63,0.38,0.57,0.76
zact.csv,0.0,0.0,0.53,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0
