,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.77,0.27,0.08,0.51,0.39,0.61,0.35,0.65,0.34,0.89,0.54
ikvm.csv,0.47,0.84,0.06,0.21,0.54,0.14,0.73,0.33,0.24,0.38,0.3
libtorrent.csv,0.83,0.43,0.12,0.4,0.85,0.34,0.81,0.78,0.25,0.9,0.96
mcmc-jags.csv,0.58,0.44,0.1,0.71,0.73,0.34,0.77,0.79,0.38,0.88,0.87
moast.csv,0.28,0.32,0.09,0.42,0.84,0.32,0.21,0.74,0.26,0.46,0.98
olap-navigator.csv,0.9,0.44,0.22,0.52,0.69,0.72,0.54,0.81,0.31,0.89,0.95
pidgin.csv,0.52,0.49,0.09,0.32,0.81,0.47,0.63,0.74,0.26,0.76,0.76
salasaga.csv,0.5,0.57,0.06,0.42,0.75,0.32,0.61,0.52,0.42,0.9,0.3
sepgsql.csv,0.69,0.44,0.2,0.35,0.75,0.55,0.52,0.77,0.32,0.87,0.98
sigil.csv,0.85,0.52,0.21,0.48,0.66,0.46,0.72,0.84,0.34,0.91,0.94
xtreemfs.csv,0.77,0.47,0.1,0.4,0.8,0.42,0.68,0.85,0.27,0.9,0.96
