,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.49,0.73,0.84,0.62,0.75,0.66,0.87,0.53,0.55,0.36,0.51
ikvm.csv,0.67,0.57,0.48,0.83,0.66,0.89,0.46,0.78,0.55,0.65,0.63
libtorrent.csv,0.48,0.4,0.38,0.57,0.38,0.46,0.38,0.45,0.57,0.32,0.4
mcmc-jags.csv,0.46,0.57,0.49,0.58,0.39,0.49,0.39,0.45,0.51,0.35,0.45
moast.csv,0.94,0.59,0.42,0.44,0.37,0.46,0.94,0.44,0.53,0.75,0.43
olap-navigator.csv,0.57,0.53,0.6,0.62,0.47,0.74,0.58,0.47,0.49,0.37,0.39
pidgin.csv,0.57,0.41,0.44,0.75,0.33,0.55,0.49,0.45,0.53,0.45,0.44
salasaga.csv,0.42,0.34,0.45,0.52,0.37,0.36,0.46,0.52,0.38,0.35,0.6
sepgsql.csv,0.65,0.43,0.54,0.88,0.41,0.8,0.56,0.49,0.55,0.41,0.41
sigil.csv,0.56,0.41,0.99,0.83,0.46,0.93,0.39,0.44,0.63,0.32,0.38
xtreemfs.csv,0.48,0.43,0.44,0.8,0.39,0.52,0.46,0.45,0.52,0.37,0.41
