,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.52,0.33,0.28,0.33,0.14,0.16,0.11,0.43,0.23,0.46,0.69
ikvm.csv,0.67,0.13,0.77,0.45,0.48,0.38,0.83,0.68,0.98,0.69,0.66
libtorrent.csv,0.85,0.5,0.68,0.5,0.83,0.86,0.33,0.73,0.68,0.74,0.59
mcmc-jags.csv,0.37,0.57,0.72,0.17,0.55,0.57,0.44,0.43,0.2,0.62,0.83
moast.csv,0.22,0.5,1.0,1.0,1.0,1.0,0.22,1.0,1.0,0.21,0.07
olap-navigator.csv,0.07,0.33,0.27,0.19,0.31,0.12,0.0,0.46,0.3,0.36,0.83
pidgin.csv,0.19,0.5,0.73,0.02,0.34,0.34,0.17,0.19,0.95,0.33,0.52
salasaga.csv,0.56,0.7,0.69,0.55,0.38,0.51,0.5,0.05,0.32,0.52,0.52
sepgsql.csv,0.04,0.43,0.32,0.1,0.27,0.1,0.0,0.11,0.33,0.11,0.28
sigil.csv,0.37,0.77,0.1,0.02,0.19,0.08,0.33,0.19,0.13,0.7,0.97
xtreemfs.csv,0.26,0.37,0.91,0.31,0.75,0.56,0.22,0.27,0.54,0.25,0.45
