,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.57,0.84,0.76,0.47,0.76,0.3,0.79,0.57,0.58,0.48,0.92
ikvm.csv,0.9,0.19,0.9,0.86,0.74,0.89,0.9,0.98,0.99,1.01,1.04
libtorrent.csv,0.85,0.74,0.68,0.64,0.83,0.86,0.43,0.73,0.75,0.74,0.59
mcmc-jags.csv,0.64,0.76,0.73,0.26,0.62,0.64,0.55,0.46,0.54,0.64,0.84
moast.csv,0.85,0.85,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.72,0.08
olap-navigator.csv,0.17,0.68,0.33,0.5,0.52,0.19,0.63,0.47,0.58,0.39,0.83
pidgin.csv,0.65,0.68,0.77,0.8,0.42,0.42,0.55,0.38,0.95,0.48,0.62
salasaga.csv,0.81,0.74,0.86,0.64,0.48,0.65,0.72,0.64,0.4,0.53,0.96
sepgsql.csv,0.46,0.7,0.35,0.74,0.43,0.46,0.65,0.34,0.57,0.24,0.28
sigil.csv,0.4,0.81,0.64,0.67,0.51,0.61,0.52,0.26,0.66,0.71,0.97
xtreemfs.csv,0.39,0.66,0.91,0.62,0.76,0.57,0.51,0.29,0.65,0.28,0.45
