,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.77,0.23,0.3,0.67,0.26,0.75,0.22,0.63,0.46,0.86,0.4
ikvm.csv,0.39,0.86,0.52,0.27,0.44,0.2,0.66,0.29,0.89,0.26,0.19
libtorrent.csv,0.97,0.45,0.96,0.6,0.99,0.95,0.72,0.96,0.68,0.93,0.99
mcmc-jags.csv,0.48,0.5,0.85,0.8,0.71,0.7,0.68,0.85,0.5,0.87,0.85
moast.csv,0.18,0.32,1.0,1.0,1.0,1.0,0.12,1.0,1.0,0.31,0.97
olap-navigator.csv,0.85,0.41,0.81,0.53,0.59,0.85,0.37,0.9,0.5,0.86,1.0
pidgin.csv,0.38,0.55,0.74,0.2,0.77,0.75,0.47,0.67,0.96,0.65,0.65
salasaga.csv,0.41,0.77,0.48,0.67,0.69,0.6,0.48,0.37,0.75,0.9,0.19
sepgsql.csv,0.54,0.45,0.85,0.27,0.66,0.55,0.35,0.67,0.54,0.79,0.99
sigil.csv,0.85,0.73,0.37,0.33,0.53,0.4,0.6,0.83,0.36,0.94,1.0
xtreemfs.csv,0.7,0.45,1.0,0.47,0.86,0.9,0.54,0.88,0.64,0.86,0.98
