,qpe.csv,sepgsql.csv,ldview.csv,monetdb.csv,xpontus.csv,netatalk.csv,fmri-dmt.csv,synergyspace.csv,quark.csv,illumination.csv,gss.csv,olex2.csv,ftm.csv,arm-webradio.csv,fulguro.csv
arm-webradio.csv,0.21,0.06,0.41,0.15,0.04,0.31,0.07,0.25,0.24,0.23,0.3,0.55,0.54,0.79,0.16
fmri-dmt.csv,0.09,0.06,0.41,0.21,0.0,0.33,0.55,0.15,0.06,0.22,0.46,0.39,0.33,0.44,0.24
ftm.csv,0.29,0.11,0.34,0.62,0.05,0.5,0.17,0.23,0.52,0.07,0.37,0.62,0.64,0.22,0.23
fulguro.csv,0.11,0.0,0.3,0.22,0.02,0.17,0.18,0.4,0.0,0.31,0.71,0.0,0.32,0.23,0.33
gss.csv,0.19,0.1,0.47,0.54,0.02,0.47,0.14,0.33,0.33,0.44,0.8,0.61,0.6,0.42,0.25
illumination.csv,0.0,0.0,0.0,0.0,0.02,0.38,0.16,0.37,0.0,0.72,0.78,0.0,0.0,0.42,0.0
ldview.csv,0.12,0.1,0.67,0.49,0.0,0.44,0.24,0.21,0.31,0.34,0.58,0.11,0.25,0.33,0.24
monetdb.csv,0.21,0.13,0.55,0.61,0.22,0.36,0.12,0.29,0.46,0.35,0.44,0.45,0.48,0.45,0.07
netatalk.csv,0.22,0.12,0.5,0.45,0.0,0.59,0.15,0.29,0.38,0.34,0.7,0.54,0.62,0.17,0.24
olex2.csv,0.25,0.09,0.0,0.39,0.02,0.4,0.26,0.22,0.2,0.08,0.45,0.7,0.65,0.34,0.11
qpe.csv,0.27,0.1,0.39,0.51,0.0,0.5,0.22,0.28,0.48,0.32,0.77,0.31,0.37,0.02,0.18
quark.csv,0.2,0.07,0.28,0.39,0.0,0.0,0.0,0.0,0.59,0.0,0.12,0.06,0.56,0.06,0.13
sepgsql.csv,0.24,0.2,0.57,0.56,0.07,0.54,0.09,0.34,0.5,0.12,0.69,0.55,0.63,0.42,0.17
synergyspace.csv,0.16,0.13,0.0,0.25,0.02,0.26,0.21,0.5,0.26,0.17,0.6,0.22,0.16,0.1,0.2
