,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.59,0.18,0.3,0.67,0.33,0.9,0.24,0.67,0.64,0.26,0.14
ikvm.csv,0.23,0.95,0.63,0.13,0.29,0.15,0.32,0.12,0.82,0.18,0.26
libtorrent.csv,0.79,0.86,0.89,0.73,0.98,0.65,0.99,0.67,1.0,0.98,1.0
mcmc-jags.csv,0.54,0.55,0.41,0.87,0.55,0.65,0.58,0.79,0.5,0.86,0.47
moast.csv,0.0,0.05,0.19,0.07,0.17,0.05,0.02,0.4,0.32,0.22,1.0
olap-navigator.csv,0.93,0.55,0.89,0.73,0.72,0.85,0.59,0.94,1.0,0.92,1.0
pidgin.csv,0.57,0.73,0.89,0.67,0.99,0.7,0.55,0.77,0.89,0.96,0.51
salasaga.csv,0.77,0.91,0.67,0.93,0.67,0.8,0.84,0.67,0.93,0.79,0.07
sepgsql.csv,0.18,0.27,0.89,0.27,0.26,0.15,0.31,0.08,0.0,0.01,0.01
sigil.csv,0.49,0.09,0.07,0.2,0.36,0.35,0.27,1.0,0.39,0.73,0.96
xtreemfs.csv,0.69,0.68,0.89,0.6,0.6,0.5,0.55,0.77,0.5,0.99,0.97
