,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.71,0.24,0.09,0.49,0.47,0.95,0.38,0.73,0.29,0.4,0.23
ikvm.csv,0.35,0.98,0.07,0.15,0.42,0.12,0.47,0.17,0.25,0.29,0.4
libtorrent.csv,0.73,0.59,0.1,0.52,0.83,0.29,0.99,0.69,0.26,0.91,0.95
mcmc-jags.csv,0.62,0.42,0.1,0.93,0.63,0.48,0.7,0.76,0.32,0.89,0.59
moast.csv,0.0,0.08,0.12,0.12,0.28,0.08,0.04,0.56,0.24,0.36,1.0
olap-navigator.csv,0.96,0.51,0.11,0.63,0.76,0.4,0.71,0.81,0.31,0.9,0.95
pidgin.csv,0.68,0.57,0.11,0.42,0.98,0.39,0.68,0.7,0.31,0.92,0.64
salasaga.csv,0.71,0.58,0.08,0.39,0.66,0.27,0.83,0.58,0.96,0.8,0.11
sepgsql.csv,0.26,0.32,0.89,0.19,0.37,0.1,0.43,0.12,0.0,0.02,0.02
sigil.csv,0.65,0.13,0.05,0.29,0.5,0.38,0.42,1.0,0.3,0.84,0.96
xtreemfs.csv,0.78,0.56,0.14,0.45,0.71,0.36,0.69,0.7,0.28,0.99,0.95
