,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.68,0.82,0.83,0.62,0.67,0.94,0.79,0.5,0.54,0.77,0.64
ikvm.csv,0.95,0.57,0.47,0.92,0.74,0.96,0.72,0.95,0.56,0.8,0.71
libtorrent.csv,0.41,0.36,0.36,0.44,0.38,0.38,0.38,0.45,0.53,0.3,0.39
mcmc-jags.csv,0.44,0.49,0.75,0.85,0.49,0.59,0.47,0.46,0.54,0.36,0.47
moast.csv,0.0,0.75,0.98,0.5,0.96,0.8,0.5,0.52,0.7,0.96,0.43
olap-navigator.csv,0.55,0.48,0.45,0.6,0.41,0.51,0.43,0.45,0.48,0.34,0.39
pidgin.csv,0.45,0.41,0.37,0.48,0.39,0.43,0.41,0.48,0.45,0.32,0.49
salasaga.csv,0.52,0.38,0.45,0.45,0.48,0.49,0.4,0.55,0.88,0.36,0.61
sepgsql.csv,0.84,0.81,0.96,0.78,0.89,0.78,0.81,0.94,0.0,0.93,0.92
sigil.csv,0.65,0.88,0.98,0.83,0.63,0.88,0.74,0.48,0.62,0.45,0.42
xtreemfs.csv,0.51,0.5,0.49,0.68,0.42,0.6,0.44,0.52,0.59,0.34,0.41
