,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.15,0.23,0.25,0.38,0.16,0.0,0.06,0.24,0.5,0.25,0.48
ikvm.csv,0.19,0.0,0.82,0.24,0.27,0.29,0.28,0.35,0.84,0.46,0.31
libtorrent.csv,0.85,0.77,0.76,0.38,0.98,0.65,0.0,0.38,1.0,0.95,0.76
mcmc-jags.csv,0.44,0.77,0.32,0.0,0.47,0.24,0.44,0.41,0.29,0.41,0.83
moast.csv,0.0,0.1,0.09,0.02,0.02,0.05,0.0,0.05,0.24,0.02,0.0
olap-navigator.csv,0.04,0.43,0.69,0.21,0.41,0.56,0.33,0.54,0.78,0.69,0.83
pidgin.csv,0.26,0.6,0.67,0.55,0.06,0.43,0.33,0.62,0.69,0.69,0.59
salasaga.csv,0.89,0.9,0.75,1.0,0.92,0.94,1.0,0.92,0.0,1.0,1.0
sepgsql.csv,0.52,0.33,0.01,0.55,0.33,0.44,0.72,0.32,0.0,0.18,0.34
sigil.csv,0.04,0.2,0.09,0.07,0.19,0.12,0.06,0.0,0.22,0.07,0.34
xtreemfs.csv,0.19,0.57,0.52,0.38,0.23,0.29,0.22,0.62,0.36,0.02,0.55
