,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.44,0.85,0.75,0.51,0.69,0.1,0.76,0.41,0.61,0.78,0.99
ikvm.csv,0.79,0.05,0.9,0.9,0.75,0.9,0.73,0.95,0.86,0.94,0.8
libtorrent.csv,0.88,0.78,0.77,0.47,0.98,0.74,0.01,0.5,1.0,0.95,0.76
mcmc-jags.csv,0.64,0.89,0.67,0.13,0.65,0.43,0.61,0.46,0.58,0.43,0.98
moast.csv,1.0,0.96,0.82,0.93,0.83,0.95,0.98,0.6,0.72,0.78,0.0
olap-navigator.csv,0.08,0.63,0.7,0.34,0.49,0.58,0.53,0.54,0.78,0.69,0.83
pidgin.csv,0.5,0.66,0.68,0.64,0.06,0.52,0.56,0.66,0.7,0.69,0.76
salasaga.csv,0.92,0.9,0.82,1.0,0.98,0.96,1.01,0.98,0.07,1.02,1.37
sepgsql.csv,0.97,0.8,0.11,0.92,0.81,0.96,1.0,0.98,1.0,1.01,1.05
sigil.csv,0.51,0.93,0.93,0.8,0.67,0.66,0.73,0.0,0.64,0.28,0.35
xtreemfs.csv,0.36,0.65,0.53,0.55,0.47,0.58,0.51,0.66,0.62,0.02,0.55
