,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.63,0.41,0.75,0.37,0.17,0.64,0.37,0.68,0.8,0.47
ivatamasks.csv,0.95,0.67,0.75,0.69,0.81,0.48,0.77,0.82,0.83,0.92
orc.csv,0.05,0.51,0.81,0.58,0.11,0.57,0.37,0.46,0.32,0.55
plato.csv,1.0,0.99,0.75,0.73,0.88,0.76,0.9,0.68,0.96,0.94
rodin-b-sharp.csv,0.53,0.46,0.44,0.27,0.12,0.55,0.82,0.46,0.24,0.29
umber.csv,0.79,0.78,1.0,0.97,0.63,1.0,0.97,0.82,0.64,0.9
unicase.csv,0.84,0.92,0.94,0.88,0.42,0.95,0.92,0.79,0.77,0.79
uwom.csv,0.16,0.54,0.62,0.18,0.45,0.33,0.24,0.21,0.33,0.85
vienna-add-in.csv,0.79,0.57,0.5,0.58,0.75,0.33,0.29,0.68,0.39,0.3
wpdev.csv,1.0,1.0,1.0,1.0,0.94,1.0,1.0,0.82,1.0,0.98
