,empyrean.csv,amanda.csv,nutz.csv,impala.csv,multitude.csv,pi-qmc.csv
amanda.csv,0.77,0.04,0.58,0.83,0.71,0.75
empyrean.csv,0.01,0.68,0.77,0.68,0.74,1.04
impala.csv,0.69,0.92,1.0,0.2,0.89,0.75
multitude.csv,0.71,0.63,0.4,0.73,0.08,0.44
nutz.csv,0.62,0.98,0.03,0.8,0.67,0.98
pi-qmc.csv,0.85,0.58,0.58,0.93,0.77,0.05
