,empyrean.csv,amanda.csv,nutz.csv,impala.csv,multitude.csv,pi-qmc.csv
amanda.csv,0.69,0.52,0.6,0.73,0.74,0.58
empyrean.csv,0.51,0.49,0.74,0.51,0.52,0.53
impala.csv,0.94,0.54,0.73,0.95,0.89,0.62
multitude.csv,0.51,0.5,0.47,0.52,0.52,0.53
nutz.csv,0.57,0.8,0.68,0.73,0.71,0.93
pi-qmc.csv,0.68,0.55,0.69,0.96,0.72,0.62
