,openefm.csv,dsworkbench.csv,autofac.csv,haggle.csv,cuberok.csv,jgnash.csv,apertium.csv,gabel.csv,tmva.csv,azureus.csv,octet.csv,jchassis.csv,servicestack.csv,gephex.csv,wsmt.csv,coot.csv,icescrum.csv,synecdoche.csv,rcp-company-uibindings.csv,javaprofiler.csv
apertium.csv,0.49,0.48,0.57,0.55,0.47,0.47,0.75,0.52,0.5,0.44,0.86,0.86,0.83,0.79,0.43,0.77,0.33,0.77,0.56,0.65
autofac.csv,0.43,0.48,0.54,0.41,0.42,0.49,0.57,0.43,0.49,0.42,0.48,0.74,0.77,0.46,0.34,0.34,0.29,0.36,0.44,0.57
azureus.csv,0.91,0.67,0.75,0.91,0.0,0.72,0.92,0.55,0.95,0.71,0.75,0.75,0.0,0.88,0.86,0.5,0.5,0.8,0.85,0.83
coot.csv,0.59,0.64,0.65,0.54,0.42,0.51,0.65,0.54,0.57,0.54,0.49,0.48,0.64,0.45,0.41,0.51,0.67,0.42,0.56,0.6
cuberok.csv,0.67,0.38,0.44,0.6,0.62,0.39,0.59,0.44,0.65,0.36,0.53,0.58,0.55,0.66,0.46,0.54,0.3,0.76,0.5,0.52
dsworkbench.csv,0.89,0.43,0.86,0.95,0.89,0.66,0.64,0.53,0.76,0.75,0.86,0.83,0.75,0.9,0.77,0.93,0.54,0.92,0.88,0.91
gabel.csv,0.0,0.5,0.0,0.83,0.0,0.5,0.0,0.88,0.5,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
gephex.csv,0.61,0.48,0.45,0.68,0.59,0.48,0.6,0.47,0.56,0.61,0.49,0.9,0.46,0.48,0.57,0.95,0.37,0.69,0.6,0.51
haggle.csv,0.78,0.75,0.91,0.56,0.37,0.75,0.51,0.42,0.49,0.65,0.6,0.88,0.8,0.44,0.75,0.43,0.45,0.39,0.44,0.9
icescrum.csv,0.82,0.45,0.0,0.86,0.67,0.49,0.69,0.52,0.92,0.49,0.83,0.86,0.83,0.81,0.45,0.88,0.56,0.73,0.53,0.9
javaprofiler.csv,0.49,0.61,0.58,0.51,0.42,0.82,0.65,0.61,0.47,0.6,0.77,0.67,0.74,0.47,0.92,0.45,0.34,0.38,0.63,0.47
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jgnash.csv,0.88,0.73,0.86,0.89,0.8,0.96,0.8,0.81,0.86,0.96,0.83,0.0,0.67,0.75,0.89,0.65,0.57,0.67,0.87,0.88
octet.csv,0.95,0.5,0.58,0.74,0.7,0.48,0.76,0.59,0.74,0.42,0.83,0.65,0.83,0.67,0.42,0.5,0.37,0.58,0.77,0.59
openefm.csv,0.66,0.49,0.65,0.93,0.88,0.82,0.55,0.8,0.95,0.88,0.67,0.75,0.83,0.91,0.77,0.5,0.55,0.93,0.71,0.88
rcp-company-uibindings.csv,0.37,0.36,0.32,0.48,0.37,0.4,0.41,0.44,0.44,0.37,0.45,0.51,0.4,0.35,0.32,0.45,0.31,0.38,0.4,0.39
servicestack.csv,0.59,0.47,0.7,0.43,0.0,0.77,0.5,0.57,0.52,0.47,0.62,0.93,0.69,0.52,0.39,0.38,0.36,0.86,0.48,0.6
synecdoche.csv,0.46,0.41,0.42,0.96,0.48,0.44,0.73,0.46,0.73,0.47,0.53,0.57,0.49,0.6,0.55,0.61,0.48,0.59,0.64,0.51
tmva.csv,0.45,0.42,0.5,0.46,0.46,0.46,0.48,0.43,0.52,0.42,0.49,0.67,0.58,0.48,0.47,0.45,0.38,0.53,0.48,0.54
wsmt.csv,0.95,0.91,0.86,0.96,0.9,0.75,0.92,0.89,0.95,0.96,0.86,0.86,0.89,0.94,0.59,0.5,0.67,0.76,0.97,0.92
