,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,0.89,1.0,0.8,0.94,0.92,0.51,0.9,0.89,0.28,0.79,0.92,0.89,0.64
badtrinity-zero.csv,0.96,0.81,0.47,0.69,0.83,0.68,0.82,0.48,0.8,0.78,0.71,0.7,0.85
betoffice.csv,0.89,0.96,0.94,0.88,0.64,0.86,0.92,0.95,0.68,0.82,0.91,0.93,1.06
exordium.csv,0.72,0.9,0.64,0.62,0.71,0.47,0.33,0.58,0.68,0.4,0.7,0.54,0.56
fltk.csv,0.7,0.65,0.56,0.41,0.8,0.79,0.5,0.4,0.93,0.66,0.61,0.56,0.69
gabel.csv,0.44,0.9,0.67,0.64,0.9,0.38,0.36,0.53,0.6,0.21,0.56,0.56,0.82
genoviz.csv,0.64,0.95,0.79,0.84,0.92,0.66,0.79,0.82,0.89,0.34,0.85,0.97,0.02
irrlicht.csv,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.63,0.99,1.0
nug.csv,0.26,0.63,0.77,0.65,0.96,0.59,0.77,1.01,0.83,0.79,0.69,0.81,0.93
rezilla.csv,0.92,0.25,0.79,0.91,0.7,0.92,0.82,0.9,0.74,0.88,0.72,0.88,0.93
toped.csv,0.73,0.95,0.78,0.88,0.69,0.96,0.72,0.18,0.88,0.93,0.82,0.73,0.93
xmemcached.csv,0.59,1.0,0.87,0.67,0.68,0.34,0.93,0.83,0.67,0.96,0.76,0.65,0.89
zoolib.csv,0.64,0.85,0.68,0.56,0.76,0.68,0.49,0.54,0.77,0.46,0.6,0.4,0.57
