,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.7,0.68,0.88,0.0,0.0,0.94,0.91,0.49,0.59,0.71
aubit4gl.csv,0.8,0.88,0.89,0.75,0.46,0.95,0.89,0.88,0.66,0.86
liferea.csv,0.44,0.46,0.42,0.52,0.59,0.61,0.75,0.54,0.86,0.63
moving-pictures.csv,0.52,0.55,0.45,0.69,0.0,0.96,0.48,0.92,0.9,0.93
opensim4opencog.csv,0.43,0.35,0.39,0.37,0.32,0.41,0.38,0.38,0.49,0.41
plearn.csv,0.48,0.5,0.45,0.0,0.67,0.81,0.5,0.89,0.56,0.79
psrchive.csv,0.52,0.89,0.5,0.39,0.39,0.66,0.48,0.48,0.61,0.68
re2c.csv,0.77,0.86,0.57,0.48,0.96,0.7,0.45,0.75,0.58,0.86
rebecca-aiml.csv,0.48,0.46,0.4,0.29,0.34,0.47,0.3,0.5,0.61,0.54
xfce.csv,0.51,0.39,0.47,0.69,0.61,0.48,0.35,0.4,0.53,0.53
