total_FANOUT,NRev,max_FANOUT,NFix,max_NPM,max_ModifiedLOC,total_CBO,total_ModifiedLOC,avg_RFC,NStmt,total_NPM,Buggy
2.0,3.0,3.0,8.0,9.0,2.0,3.0,2.0,7.0,2.0,9.0,True
8.0,5.0,5.0,8.0,10.0,8.0,9.0,7.0,10.0,9.0,10.0,True
3.0,7.0,5.0,9.0,9.0,10.0,2.0,9.0,7.0,2.0,9.0,True
8.0,3.0,8.0,8.0,10.0,5.0,9.0,4.0,8.0,9.0,10.0,True
8.0,3.0,9.0,5.0,9.0,2.0,9.0,2.0,9.0,9.0,9.0,False
10.0,5.0,10.0,8.0,10.0,8.0,10.0,6.0,9.0,10.0,10.0,False
9.0,5.0,10.0,8.0,10.0,3.0,10.0,3.0,9.0,10.0,10.0,True
9.0,6.0,7.0,8.0,10.0,5.0,10.0,5.0,9.0,10.0,10.0,True
5.0,6.0,6.0,5.0,9.0,8.0,8.0,7.0,8.0,6.0,9.0,False
8.0,7.0,7.0,5.0,10.0,9.0,8.0,8.0,9.0,8.0,10.0,True
7.0,5.0,6.0,5.0,10.0,9.0,6.0,7.0,9.0,7.0,10.0,True
6.0,3.0,5.0,5.0,10.0,2.0,8.0,2.0,9.0,6.0,10.0,True
3.0,3.0,3.0,8.0,10.0,3.0,3.0,3.0,6.0,3.0,10.0,False
5.0,6.0,6.0,8.0,9.0,8.0,5.0,7.0,8.0,5.0,9.0,False
4.0,3.0,5.0,5.0,9.0,6.0,5.0,4.0,7.0,3.0,9.0,False
7.0,8.0,3.0,10.0,9.0,6.0,10.0,6.0,7.0,7.0,9.0,False
2.0,3.0,2.0,8.0,9.0,3.0,1.0,3.0,4.0,1.0,9.0,True
4.0,7.0,4.0,9.0,9.0,8.0,1.0,6.0,4.0,5.0,9.0,False
3.0,7.0,2.0,8.0,9.0,9.0,3.0,7.0,6.0,2.0,9.0,False
4.0,7.0,8.0,8.0,9.0,6.0,3.0,5.0,6.0,4.0,9.0,True
3.0,6.0,3.0,8.0,9.0,3.0,5.0,4.0,7.0,2.0,9.0,False
8.0,6.0,5.0,10.0,9.0,9.0,4.0,7.0,9.0,7.0,9.0,False
8.0,7.0,8.0,9.0,9.0,7.0,6.0,6.0,8.0,8.0,9.0,True
2.0,5.0,3.0,9.0,9.0,9.0,2.0,7.0,7.0,2.0,9.0,True
7.0,7.0,5.0,9.0,9.0,9.0,4.0,8.0,9.0,6.0,9.0,True
5.0,5.0,4.0,9.0,9.0,7.0,6.0,5.0,8.0,5.0,9.0,True
4.0,3.0,4.0,9.0,10.0,2.0,4.0,2.0,7.0,4.0,10.0,False
7.0,9.0,5.0,10.0,9.0,8.0,4.0,7.0,9.0,6.0,9.0,True
