avg_NPRM,max_NPRM,NRev,NStmt,total_ModifiedLOC,max_NOM,NFix,Buggy
8.0,8.0,7.0,3.0,3.0,6.0,5.0,False
8.0,8.0,6.0,4.0,3.0,6.0,5.0,False
8.0,8.0,7.0,3.0,3.0,6.0,5.0,False
8.0,8.0,6.0,4.0,4.0,6.0,5.0,False
8.0,8.0,8.0,3.0,4.0,6.0,5.0,False
8.0,8.0,7.0,6.0,4.0,7.0,5.0,False
8.0,8.0,7.0,9.0,6.0,6.0,10.0,True
8.0,8.0,8.0,9.0,7.0,6.0,10.0,False
8.0,8.0,7.0,5.0,4.0,6.0,10.0,False
8.0,8.0,9.0,7.0,8.0,6.0,10.0,False
8.0,8.0,9.0,7.0,8.0,8.0,9.0,False
8.0,8.0,4.0,4.0,3.0,6.0,9.0,False
8.0,8.0,6.0,8.0,5.0,7.0,5.0,False
8.0,8.0,6.0,6.0,4.0,6.0,9.0,False
8.0,8.0,4.0,8.0,3.0,6.0,9.0,False
8.0,8.0,4.0,5.0,2.0,6.0,5.0,False
8.0,8.0,8.0,7.0,7.0,7.0,5.0,False
8.0,8.0,8.0,5.0,6.0,7.0,9.0,False
8.0,8.0,4.0,5.0,4.0,6.0,9.0,False
8.0,8.0,4.0,7.0,4.0,6.0,5.0,False
8.0,8.0,7.0,8.0,5.0,6.0,10.0,False
8.0,8.0,6.0,7.0,3.0,6.0,10.0,False
8.0,8.0,8.0,6.0,5.0,6.0,9.0,False
8.0,8.0,7.0,8.0,5.0,6.0,5.0,False
8.0,8.0,4.0,3.0,5.0,6.0,5.0,False
9.0,9.0,10.0,9.0,10.0,9.0,5.0,True
8.0,8.0,4.0,4.0,3.0,6.0,9.0,False
8.0,8.0,4.0,6.0,3.0,6.0,9.0,False
8.0,8.0,6.0,6.0,3.0,6.0,9.0,False
8.0,8.0,4.0,3.0,3.0,6.0,9.0,False
8.0,8.0,4.0,8.0,4.0,6.0,9.0,False
8.0,8.0,4.0,10.0,7.0,6.0,9.0,False
8.0,8.0,7.0,4.0,5.0,7.0,9.0,False
8.0,8.0,6.0,3.0,6.0,6.0,9.0,False
8.0,8.0,4.0,3.0,3.0,7.0,9.0,False
8.0,8.0,8.0,7.0,6.0,7.0,10.0,False
8.0,8.0,6.0,4.0,7.0,6.0,10.0,False
8.0,8.0,4.0,2.0,3.0,6.0,5.0,False
8.0,8.0,7.0,4.0,5.0,6.0,9.0,False
8.0,8.0,6.0,2.0,4.0,6.0,9.0,False
8.0,8.0,8.0,6.0,7.0,7.0,9.0,False
8.0,8.0,4.0,4.0,3.0,6.0,9.0,False
8.0,8.0,8.0,5.0,5.0,6.0,10.0,False
8.0,8.0,7.0,6.0,6.0,7.0,10.0,False
8.0,8.0,7.0,8.0,6.0,7.0,9.0,False
8.0,8.0,4.0,2.0,3.0,6.0,9.0,False
8.0,8.0,8.0,10.0,2.0,6.0,10.0,False
8.0,8.0,4.0,5.0,4.0,6.0,9.0,False
8.0,8.0,8.0,3.0,6.0,6.0,5.0,False
8.0,8.0,6.0,5.0,3.0,6.0,10.0,False
8.0,8.0,6.0,4.0,4.0,6.0,9.0,False
8.0,8.0,4.0,10.0,2.0,6.0,5.0,False
8.0,8.0,6.0,10.0,7.0,6.0,9.0,False
10.0,10.0,6.0,7.0,4.0,10.0,9.0,False
8.0,8.0,9.0,10.0,9.0,6.0,10.0,False
10.0,10.0,7.0,6.0,5.0,10.0,9.0,False
8.0,8.0,9.0,8.0,9.0,6.0,9.0,False
10.0,10.0,8.0,5.0,8.0,10.0,5.0,False
8.0,8.0,4.0,9.0,5.0,6.0,5.0,False
8.0,8.0,6.0,7.0,6.0,6.0,5.0,False
8.0,8.0,4.0,5.0,4.0,6.0,5.0,False
8.0,8.0,7.0,8.0,9.0,6.0,5.0,False
10.0,10.0,6.0,5.0,5.0,10.0,5.0,False
8.0,8.0,7.0,10.0,8.0,6.0,5.0,False
10.0,10.0,7.0,5.0,5.0,10.0,5.0,False
8.0,8.0,6.0,8.0,6.0,6.0,9.0,False
8.0,8.0,6.0,9.0,6.0,6.0,5.0,False
10.0,10.0,6.0,6.0,5.0,10.0,5.0,False
8.0,8.0,6.0,10.0,7.0,6.0,9.0,False
10.0,10.0,6.0,7.0,5.0,10.0,9.0,False
