avg_NPM,total_FANOUT,avg_DIT,max_ModifiedLOC,max_NPM,avg_FANIN,max_RFC,avg_AddedLOC,total_NPM,avg_ModifiedLOC,total_NPRM,avg_DIT.1,max_CC,avg_NOC,Buggy
9.0,8.0,8.0,4.0,9.0,8.0,4.0,3.0,9.0,6.0,9.0,8.0,9.0,9.0,False
9.0,9.0,8.0,6.0,9.0,9.0,4.0,5.0,9.0,6.0,9.0,8.0,9.0,9.0,False
9.0,2.0,8.0,9.0,9.0,10.0,10.0,8.0,9.0,8.0,9.0,8.0,3.0,9.0,False
9.0,9.0,8.0,9.0,9.0,8.0,4.0,8.0,9.0,9.0,9.0,8.0,7.0,9.0,False
9.0,9.0,8.0,8.0,9.0,10.0,4.0,3.0,9.0,7.0,9.0,8.0,9.0,9.0,True
9.0,10.0,8.0,8.0,9.0,10.0,4.0,7.0,9.0,9.0,9.0,8.0,10.0,9.0,True
9.0,2.0,8.0,9.0,9.0,4.0,10.0,5.0,9.0,7.0,10.0,8.0,3.0,9.0,True
9.0,10.0,8.0,1.0,9.0,9.0,4.0,3.0,9.0,1.0,9.0,8.0,10.0,9.0,True
9.0,3.0,8.0,10.0,9.0,3.0,10.0,7.0,9.0,10.0,9.0,8.0,3.0,9.0,False
9.0,9.0,8.0,9.0,9.0,9.0,4.0,8.0,9.0,9.0,9.0,8.0,10.0,9.0,False
9.0,8.0,8.0,8.0,9.0,6.0,4.0,3.0,9.0,8.0,9.0,8.0,7.0,9.0,False
9.0,5.0,8.0,9.0,9.0,9.0,4.0,6.0,9.0,9.0,9.0,8.0,7.0,9.0,False
9.0,7.0,8.0,3.0,9.0,7.0,4.0,3.0,9.0,3.0,9.0,8.0,9.0,9.0,False
9.0,6.0,8.0,4.0,9.0,6.0,4.0,3.0,9.0,5.0,9.0,8.0,10.0,9.0,True
9.0,6.0,8.0,6.0,9.0,10.0,4.0,7.0,9.0,7.0,9.0,8.0,7.0,9.0,True
9.0,7.0,8.0,4.0,9.0,8.0,4.0,3.0,9.0,6.0,9.0,8.0,6.0,9.0,False
9.0,8.0,8.0,6.0,9.0,10.0,4.0,6.0,9.0,7.0,9.0,8.0,10.0,9.0,True
9.0,9.0,8.0,6.0,9.0,10.0,4.0,3.0,9.0,7.0,9.0,8.0,10.0,9.0,True
9.0,5.0,8.0,4.0,9.0,5.0,4.0,3.0,9.0,5.0,9.0,8.0,5.0,9.0,False
