NFix,CL,max_ModifiedLOC,avg_FANOUT,max_NOM,avg_AddedLOC,max_CBO,avg_DIT,avg_NOC,total_DeletedLOC,Buggy
10.0,4.0,9.0,2.0,10.0,7.0,5.0,9.0,9.0,9.0,False
5.0,8.0,5.0,3.0,8.0,9.0,7.0,9.0,9.0,4.0,True
5.0,2.0,6.0,3.0,6.0,6.0,5.0,5.0,10.0,4.0,False
5.0,1.0,9.0,2.0,7.0,9.0,3.0,5.0,9.0,4.0,False
8.0,1.0,10.0,2.0,9.0,8.0,6.0,9.0,9.0,9.0,False
5.0,3.0,2.0,2.0,8.0,9.0,6.0,9.0,9.0,4.0,False
5.0,2.0,6.0,4.0,4.0,10.0,5.0,9.0,9.0,4.0,False
8.0,3.0,8.0,7.0,4.0,8.0,8.0,9.0,9.0,9.0,False
5.0,1.0,8.0,1.0,10.0,9.0,6.0,9.0,9.0,7.0,False
5.0,1.0,8.0,4.0,2.0,4.0,7.0,9.0,9.0,9.0,False
5.0,1.0,3.0,2.0,6.0,9.0,5.0,9.0,9.0,4.0,False
5.0,1.0,3.0,2.0,2.0,7.0,3.0,9.0,9.0,8.0,False
5.0,1.0,2.0,1.0,8.0,10.0,5.0,9.0,9.0,4.0,False
10.0,1.0,9.0,5.0,3.0,7.0,7.0,9.0,9.0,8.0,True
10.0,1.0,9.0,2.0,9.0,9.0,7.0,9.0,9.0,6.0,True
9.0,1.0,9.0,5.0,2.0,8.0,7.0,9.0,9.0,8.0,True
8.0,1.0,3.0,1.0,8.0,9.0,6.0,9.0,9.0,4.0,False
9.0,1.0,6.0,4.0,2.0,7.0,7.0,9.0,9.0,9.0,False
5.0,1.0,5.0,2.0,9.0,8.0,3.0,9.0,9.0,4.0,False
5.0,1.0,3.0,3.0,3.0,7.0,4.0,9.0,9.0,8.0,False
5.0,1.0,7.0,2.0,9.0,5.0,3.0,9.0,9.0,4.0,False
5.0,1.0,3.0,4.0,3.0,8.0,5.0,9.0,9.0,4.0,True
5.0,1.0,3.0,4.0,3.0,8.0,5.0,9.0,9.0,4.0,False
5.0,1.0,2.0,2.0,8.0,10.0,5.0,9.0,9.0,4.0,False
9.0,3.0,10.0,7.0,6.0,9.0,8.0,9.0,9.0,9.0,True
5.0,6.0,8.0,2.0,8.0,8.0,5.0,9.0,9.0,5.0,False
5.0,3.0,9.0,6.0,3.0,3.0,7.0,9.0,9.0,8.0,True
8.0,1.0,6.0,2.0,7.0,10.0,3.0,5.0,9.0,4.0,True
8.0,1.0,2.0,2.0,6.0,9.0,3.0,5.0,9.0,4.0,False
5.0,1.0,5.0,2.0,1.0,4.0,1.0,9.0,9.0,4.0,False
9.0,1.0,10.0,8.0,4.0,9.0,7.0,5.0,9.0,9.0,False
5.0,1.0,3.0,2.0,9.0,8.0,6.0,9.0,9.0,4.0,False
5.0,1.0,8.0,5.0,3.0,8.0,7.0,9.0,9.0,7.0,False
10.0,9.0,10.0,10.0,5.0,5.0,9.0,9.0,9.0,9.0,False
9.0,6.0,10.0,6.0,4.0,8.0,7.0,5.0,10.0,9.0,False
8.0,1.0,9.0,4.0,4.0,4.0,3.0,5.0,9.0,6.0,False
5.0,5.0,6.0,2.0,2.0,8.0,3.0,5.0,9.0,8.0,False
8.0,6.0,5.0,10.0,2.0,8.0,7.0,5.0,9.0,7.0,True
8.0,1.0,6.0,5.0,4.0,9.0,8.0,9.0,9.0,7.0,False
8.0,2.0,5.0,3.0,4.0,3.0,6.0,5.0,9.0,4.0,False
5.0,1.0,5.0,6.0,2.0,7.0,3.0,5.0,9.0,4.0,False
5.0,8.0,5.0,3.0,8.0,9.0,7.0,9.0,9.0,4.0,True
8.0,7.0,6.0,5.0,6.0,8.0,8.0,5.0,9.0,5.0,True
5.0,1.0,5.0,3.0,2.0,3.0,3.0,5.0,10.0,7.0,False
5.0,2.0,6.0,5.0,5.0,8.0,8.0,9.0,9.0,6.0,True
8.0,1.0,6.0,1.0,9.0,7.0,3.0,5.0,9.0,7.0,False
10.0,8.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,False
9.0,1.0,5.0,5.0,3.0,7.0,6.0,9.0,9.0,5.0,False
9.0,2.0,10.0,6.0,4.0,7.0,8.0,9.0,9.0,7.0,False
8.0,3.0,6.0,10.0,2.0,3.0,8.0,9.0,9.0,4.0,True
8.0,2.0,5.0,9.0,2.0,3.0,7.0,9.0,9.0,4.0,False
8.0,3.0,3.0,7.0,4.0,3.0,6.0,9.0,9.0,4.0,False
9.0,2.0,9.0,10.0,1.0,4.0,6.0,9.0,9.0,8.0,True
10.0,2.0,10.0,10.0,1.0,9.0,9.0,9.0,9.0,8.0,True
8.0,2.0,9.0,10.0,3.0,7.0,6.0,9.0,9.0,8.0,False
8.0,1.0,8.0,10.0,2.0,9.0,5.0,9.0,9.0,6.0,False
8.0,1.0,6.0,5.0,3.0,5.0,7.0,5.0,10.0,7.0,True
8.0,2.0,5.0,10.0,2.0,3.0,5.0,9.0,9.0,5.0,True
5.0,2.0,3.0,10.0,1.0,3.0,6.0,9.0,9.0,6.0,False
10.0,9.0,9.0,10.0,6.0,5.0,7.0,5.0,9.0,8.0,False
10.0,3.0,9.0,9.0,4.0,8.0,10.0,5.0,9.0,7.0,False
5.0,9.0,8.0,10.0,9.0,6.0,9.0,9.0,9.0,5.0,False
5.0,3.0,2.0,4.0,9.0,7.0,4.0,9.0,9.0,4.0,False
8.0,4.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,False
5.0,4.0,5.0,5.0,8.0,3.0,4.0,9.0,9.0,4.0,False
5.0,6.0,5.0,6.0,8.0,3.0,4.0,9.0,9.0,4.0,False
5.0,3.0,2.0,2.0,7.0,3.0,2.0,5.0,9.0,4.0,True
8.0,4.0,7.0,7.0,10.0,8.0,8.0,5.0,9.0,4.0,False
5.0,2.0,2.0,2.0,7.0,7.0,3.0,5.0,9.0,4.0,False
5.0,2.0,2.0,2.0,3.0,8.0,3.0,5.0,9.0,6.0,False
5.0,4.0,3.0,3.0,7.0,5.0,4.0,5.0,9.0,6.0,True
5.0,2.0,3.0,4.0,4.0,4.0,5.0,5.0,9.0,6.0,False
5.0,4.0,5.0,3.0,9.0,4.0,6.0,5.0,9.0,6.0,False
5.0,6.0,10.0,10.0,5.0,10.0,9.0,9.0,9.0,6.0,False
5.0,5.0,9.0,6.0,9.0,8.0,9.0,5.0,9.0,9.0,False
5.0,9.0,6.0,9.0,7.0,3.0,8.0,10.0,9.0,5.0,False
5.0,5.0,7.0,10.0,8.0,7.0,9.0,10.0,9.0,4.0,False
5.0,3.0,2.0,10.0,4.0,3.0,7.0,10.0,9.0,4.0,False
5.0,3.0,5.0,7.0,3.0,7.0,3.0,10.0,9.0,7.0,False
5.0,2.0,2.0,9.0,4.0,3.0,3.0,10.0,9.0,5.0,False
5.0,2.0,9.0,9.0,2.0,7.0,3.0,9.0,9.0,8.0,False
5.0,2.0,9.0,10.0,2.0,8.0,4.0,9.0,9.0,8.0,False
5.0,7.0,10.0,10.0,5.0,10.0,7.0,9.0,9.0,10.0,False
5.0,4.0,3.0,8.0,5.0,3.0,6.0,10.0,9.0,4.0,False
5.0,9.0,5.0,7.0,8.0,8.0,7.0,9.0,9.0,4.0,False
5.0,8.0,9.0,3.0,9.0,10.0,7.0,5.0,9.0,10.0,True
5.0,6.0,6.0,9.0,2.0,3.0,8.0,9.0,9.0,4.0,False
5.0,8.0,5.0,9.0,9.0,3.0,8.0,9.0,9.0,8.0,True
5.0,1.0,10.0,5.0,4.0,10.0,7.0,9.0,9.0,8.0,False
10.0,8.0,10.0,7.0,9.0,8.0,9.0,5.0,9.0,10.0,False
10.0,8.0,10.0,10.0,8.0,8.0,10.0,9.0,9.0,10.0,True
