,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.5,0.9,0.61,0.65,0.67,0.47,0.61,0.54,0.49,0.93,0.5,0.39,0.69,0.43,0.68,0.66,0.6,0.9
betoffice.csv,0.75,0.95,0.95,0.64,0.9,0.89,0.92,0.59,0.85,0.71,0.6,0.9,0.55,0.8,0.57,0.95,0.67,0.86
bionote.csv,0.78,0.0,0.0,0.86,0.0,0.67,0.0,0.0,0.97,0.67,0.0,0.88,0.88,0.82,0.67,0.94,0.88,0.67
bnetd.csv,0.34,0.35,0.62,0.38,0.51,0.31,0.45,0.43,0.42,0.43,0.51,0.32,0.47,0.4,0.36,0.39,0.45,0.38
elvishrayrenderer.csv,0.37,0.37,0.64,0.38,0.42,0.43,0.6,0.74,0.44,0.52,0.68,0.34,0.42,0.34,0.38,0.43,0.57,0.45
emisview.csv,0.86,0.75,0.0,0.75,0.86,0.65,0.67,0.83,0.99,0.88,0.88,0.83,0.62,0.65,0.71,0.96,0.86,0.8
findbugs.csv,0.81,0.95,0.66,0.83,0.65,0.79,0.85,0.7,0.81,0.93,0.73,0.92,0.8,0.6,0.67,0.72,0.97,0.92
hazelcast.csv,0.3,0.3,0.42,0.34,0.35,0.3,0.39,0.36,0.36,0.43,0.35,0.31,0.36,0.31,0.31,0.32,0.36,0.34
jitterbit.csv,0.5,0.42,0.62,0.55,0.6,0.55,0.9,0.83,0.73,0.64,0.67,0.69,0.8,0.47,0.71,0.84,0.92,0.46
jppf-project.csv,0.35,0.38,0.62,0.37,0.42,0.29,0.39,0.39,0.42,0.48,0.44,0.35,0.39,0.36,0.33,0.45,0.45,0.36
kolmafia.csv,0.35,0.95,0.86,0.56,0.48,0.42,0.67,0.53,0.59,0.52,0.88,0.4,0.48,0.42,0.47,0.42,0.69,0.58
megasquirtavr.csv,0.32,0.39,0.83,0.37,0.4,0.3,0.41,0.43,0.38,0.51,0.42,0.33,0.37,0.33,0.31,0.44,0.44,0.37
qedo.csv,0.5,0.95,0.97,0.92,0.75,0.75,0.88,0.75,0.93,0.96,0.95,0.89,0.5,0.94,0.75,0.95,0.5,0.9
stajistics.csv,0.48,0.92,0.72,0.47,0.5,0.37,0.54,0.82,0.57,0.62,0.92,0.38,0.57,0.44,0.54,0.4,0.61,0.39
trackit.csv,0.47,0.53,0.65,0.54,0.58,0.5,0.54,0.79,0.53,0.49,0.43,0.51,0.7,0.47,0.53,0.46,0.6,0.48
wxlua.csv,0.34,0.39,0.52,0.42,0.41,0.33,0.4,0.39,0.39,0.52,0.42,0.37,0.37,0.37,0.32,0.46,0.44,0.37
x4x.csv,0.42,0.38,0.9,0.39,0.43,0.33,0.42,0.41,0.43,0.48,0.4,0.33,0.35,0.35,0.37,0.41,0.49,0.34
xharbour.csv,0.35,0.38,0.54,0.47,0.4,0.37,0.39,0.4,0.39,0.5,0.46,0.4,0.37,0.43,0.34,0.45,0.45,0.38
