,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,0.93,0.81,0.07,0.76,0.81,0.88,0.7,0.59,0.55,0.84,0.9,0.59,0.94
flylinkdc.csv,0.0,1.0,0.81,0.77,0.69,0.48,0.6,0.81,0.58,0.8,0.63,0.61,0.64
fw4spl.csv,0.88,0.83,0.92,1.0,0.06,0.59,0.85,0.84,1.01,0.68,0.83,0.7,0.87
grisbi.csv,0.73,0.89,0.63,0.91,0.87,0.73,0.0,0.81,0.82,0.71,0.72,0.67,0.81
mesa3d.csv,0.78,0.81,0.74,0.71,0.68,0.74,0.78,0.7,0.83,0.69,0.67,0.13,0.92
nuttx.csv,0.69,0.0,0.7,0.75,0.75,0.55,0.7,0.84,0.68,0.74,0.68,0.75,0.68
panda3d.csv,0.75,0.88,0.84,0.89,0.68,0.78,0.66,0.46,0.55,0.08,0.69,0.71,0.89
proftp.csv,0.61,0.81,0.72,0.81,0.57,0.0,0.61,0.89,0.67,0.77,0.76,0.75,0.6
qmmp.csv,0.63,0.92,0.61,0.87,0.52,0.62,0.55,0.89,0.74,0.68,0.04,0.78,0.71
skia.csv,0.76,0.94,0.81,0.72,0.65,0.61,0.91,1.03,0.81,0.75,0.85,0.81,0.09
tart.csv,1.0,1.0,0.98,1.0,0.96,0.93,0.97,1.0,0.2,1.0,0.99,1.0,1.0
tcvp.csv,0.88,0.97,0.88,0.74,0.9,0.91,0.85,0.0,0.82,0.9,0.86,0.96,0.89
utgb.csv,0.66,0.9,0.82,0.0,0.78,0.87,0.86,1.0,0.81,0.82,0.95,0.78,0.74
