,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,0.11,0.7,0.96,0.68,0.17,0.29,0.54,0.29,0.14,0.23,0.31,0.41,0.11
flylinkdc.csv,1.0,0.0,0.26,0.42,0.26,0.63,0.57,0.15,0.13,0.27,0.51,0.37,0.43
fw4spl.csv,0.17,0.29,0.21,0.0,0.97,0.53,0.35,0.12,0.0,0.39,0.28,0.3,0.21
grisbi.csv,0.43,0.81,0.43,0.66,0.25,0.67,1.0,0.19,0.12,0.47,0.7,0.39,0.52
mesa3d.csv,0.28,0.39,0.33,0.42,0.22,0.4,0.48,0.22,0.08,0.38,0.47,0.89,0.14
nuttx.csv,0.43,1.0,0.36,0.7,0.22,0.59,0.69,0.11,0.11,0.33,0.46,0.26,0.41
panda3d.csv,0.3,0.25,0.23,0.2,0.31,0.46,0.58,0.32,0.15,0.95,0.45,0.29,0.18
proftp.csv,0.41,0.33,0.33,0.44,0.28,1.0,0.57,0.18,0.12,0.3,0.36,0.28,0.46
qmmp.csv,0.41,0.17,0.44,0.31,0.31,0.52,0.7,0.11,0.09,0.39,0.98,0.24,0.38
skia.csv,0.35,0.12,0.28,0.44,0.28,0.51,0.17,0.0,0.11,0.32,0.33,0.23,0.93
tart.csv,0.0,0.0,0.05,0.0,0.08,0.12,0.06,0.0,0.89,0.0,0.03,0.0,0.0
tcvp.csv,0.18,0.06,0.2,0.39,0.16,0.15,0.3,1.0,0.1,0.18,0.24,0.07,0.17
utgb.csv,0.42,0.19,0.25,1.0,0.24,0.23,0.24,0.0,0.13,0.25,0.09,0.27,0.36
