,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.66,0.85,0.28,0.82,0.64,0.93,0.72,0.63,0.36,0.49,0.52
azureus.csv,0.31,0.96,0.92,0.89,0.95,0.56,0.39,0.59,0.96,0.6,0.68
forester-atv.csv,0.81,0.34,0.83,0.95,0.75,0.81,0.58,0.68,0.71,0.78,0.93
gabel.csv,1.0,0.67,0.59,0.84,0.35,0.76,0.67,0.63,0.94,0.77,0.84
google-collections.csv,0.19,0.98,1.0,1.0,1.0,1.0,0.96,0.84,1.0,1.0,0.97
javaprofiler.csv,0.6,0.85,0.53,0.75,0.62,0.95,0.68,0.73,0.56,0.62,0.27
mycila.csv,1.01,0.74,0.91,0.82,0.9,0.34,0.53,0.61,1.02,0.82,0.73
neodatis-odb.csv,1.05,0.84,0.66,0.3,0.74,0.55,0.47,0.78,0.89,0.7,0.47
pokenetonline.csv,0.46,0.95,0.89,0.91,0.91,0.77,0.83,0.35,0.68,1.0,0.88
rcp-company-uibindings.csv,0.32,0.67,0.62,0.86,0.5,0.61,0.59,0.76,0.67,0.13,0.74
servicestack.csv,0.97,0.46,0.67,0.84,1.0,0.92,0.89,0.85,0.32,0.91,0.99
