,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.55,0.48,0.78,0.5,0.59,0.39,0.57,0.51,0.69,0.69,0.64
azureus.csv,0.74,0.2,0.32,0.37,0.21,0.65,0.68,0.69,0.26,0.75,0.66
forester-atv.csv,0.23,0.79,0.2,0.06,0.29,0.24,0.64,0.38,0.34,0.29,0.09
gabel.csv,0.0,0.58,0.46,0.45,0.75,0.34,0.39,0.67,0.07,0.27,0.19
google-collections.csv,0.84,0.09,0.0,0.0,0.0,0.0,0.17,0.48,0.0,0.0,0.13
javaprofiler.csv,0.45,0.48,0.6,0.54,0.7,0.26,0.58,0.62,0.51,0.69,0.8
mycila.csv,0.0,0.35,0.32,0.35,0.36,0.72,0.6,0.6,0.31,0.5,0.58
neodatis-odb.csv,0.0,0.49,0.58,0.82,0.58,0.54,0.69,0.27,0.14,0.65,0.65
pokenetonline.csv,0.59,0.21,0.39,0.33,0.33,0.55,0.5,0.73,0.69,0.0,0.42
rcp-company-uibindings.csv,0.73,0.64,0.51,0.44,0.63,0.52,0.56,0.29,0.44,0.89,0.33
servicestack.csv,0.02,0.62,0.42,0.22,0.0,0.12,0.13,0.18,0.76,0.11,0.01
