,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.05,0.0,0.43,0.55,0.42,0.53,0.56,0.65,0.59,0.14,0.13,0.51,0.33
bscwweasel.csv,0.02,0.17,0.65,0.72,0.58,0.33,0.46,0.0,0.55,0.35,0.09,0.19,0.17
capcode.csv,0.04,0.58,0.44,0.59,0.47,0.11,0.74,0.35,0.28,0.0,0.61,0.42,0.38
emite.csv,0.67,0.38,0.51,0.39,0.5,0.42,0.37,0.23,0.23,0.07,0.52,0.61,0.35
extprosys.csv,0.13,0.4,0.34,0.59,0.45,0.65,0.6,0.06,0.5,0.09,0.62,0.56,0.36
lamp.csv,0.53,0.66,0.39,0.57,0.09,0.64,0.51,0.0,0.57,0.09,0.53,0.3,0.0
retromenu.csv,0.61,0.6,0.54,0.34,0.76,0.27,0.5,0.54,0.21,0.34,0.75,0.23,0.35
smbopensoft.csv,0.8,0.13,0.33,0.44,0.47,0.29,0.2,0.46,0.29,0.0,0.35,0.6,0.36
snakeyaml.csv,0.64,0.45,0.46,0.44,0.66,0.34,0.43,0.54,0.48,0.29,0.72,0.04,0.43
stuproa-cims.csv,0.0,0.17,0.47,0.4,0.72,0.02,0.29,0.0,0.6,0.0,0.35,0.43,0.0
ta3d.csv,0.0,0.0,0.38,0.4,0.76,0.02,0.29,0.0,0.34,0.65,0.09,0.3,0.62
thout.csv,0.48,0.0,0.61,0.29,0.49,0.13,0.05,0.09,0.05,0.0,0.63,0.09,0.49
vrjuggler.csv,0.43,0.33,0.09,0.39,0.17,0.02,0.1,0.0,0.09,0.62,0.18,0.12,0.11
