,gtad.csv,kaffeine.csv,taokgame.csv,htmlunit.csv,jsr308-langtools.csv,continuum-ide.csv,anaxagora.csv,stemkit.csv,carabiner.csv
anaxagora.csv,0.0,0.62,0.2,0.33,0.48,0.1,0.98,0.09,0.19
carabiner.csv,0.07,0.77,0.15,0.53,0.71,0.45,0.29,0.14,0.98
continuum-ide.csv,0.25,0.27,0.0,0.36,0.49,0.97,0.12,0.0,0.17
gtad.csv,1.0,0.04,0.0,0.06,0.12,0.08,0.29,0.0,0.23
htmlunit.csv,0.11,0.63,0.0,0.95,0.62,0.46,0.24,0.1,0.4
jsr308-langtools.csv,0.12,0.74,0.14,0.5,1.0,0.44,0.32,0.08,0.32
kaffeine.csv,0.03,0.99,0.24,0.52,0.75,0.44,0.31,0.15,0.57
stemkit.csv,0.0,0.12,0.24,0.1,0.0,0.09,0.14,0.91,0.0
taokgame.csv,0.11,0.19,1.0,0.08,0.24,0.23,0.25,0.0,0.07
