,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,lcfizvtop.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,modplug.csv,pydev.csv,codepurge.csv,passwordsafe.csv,pixel-commandos.csv,elateportal.csv,sandiaportals.csv,factor.csv,uwom.csv
badtrinity-zero.csv,91.5,99.0,196.5,0.0,1159.5,269.5,91.5,882.0,0.0,235.5,98.5,197.0,928.0,98.5,98.5,89.5,98.5,97.5,3739.0
boost.csv,96.5,98.5,386.5,389.0,1395.0,577.0,97.5,482.5,94.5,98.5,91.5,98.5,1389.0,98.5,97.5,91.5,93.5,97.5,465.0
codepurge.csv,81.5,99.0,93.5,389.0,90.5,464.5,97.5,93.5,287.0,98.5,98.5,177.0,741.5,98.5,97.5,186.0,92.5,97.5,1959.0
elateportal.csv,185.0,99.0,195.0,290.5,189.0,98.5,196.5,393.0,585.5,94.5,96.5,480.5,1398.0,289.5,366.0,91.5,98.5,97.5,3508.0
etics.csv,96.5,98.5,195.0,389.0,148.5,389.5,91.5,96.5,193.5,191.0,91.5,177.0,1378.5,192.0,97.5,91.5,93.5,97.5,182.0
factor.csv,185.0,99.0,97.5,193.0,411.0,446.0,296.5,195.0,290.5,248.5,98.5,486.0,1358.0,82.5,182.0,0.0,96.5,82.5,945.5
gusanos.csv,96.5,98.5,392.5,487.5,93.5,464.5,98.5,882.0,94.5,191.0,96.5,295.5,922.0,98.5,98.5,186.0,70.5,97.5,4946.5
kvs.csv,96.5,98.5,89.5,193.0,236.5,176.0,346.0,585.5,289.5,98.5,91.5,295.5,65.5,289.5,349.0,186.0,68.0,97.5,4207.0
lcfizvtop.csv,96.5,923.0,195.0,584.0,93.5,197.0,98.5,884.0,585.5,190.0,96.5,288.5,1868.0,98.5,362.0,186.0,97.5,97.5,5036.0
mcore3d.csv,96.5,98.5,295.0,194.0,1159.5,368.0,97.5,288.5,94.5,191.0,89.5,295.5,1262.5,98.5,97.5,91.5,98.5,97.5,939.5
modellus.csv,96.5,98.5,195.0,487.5,170.5,538.5,97.5,587.0,292.0,440.5,94.5,98.5,1384.5,98.5,97.5,84.5,93.5,97.5,182.0
modplug.csv,96.5,99.0,294.0,584.0,192.5,368.0,296.5,1079.0,585.5,191.0,98.5,295.5,1671.5,98.5,98.5,285.0,98.5,97.5,7445.0
passwordsafe.csv,96.5,98.5,195.0,487.5,327.0,684.5,97.5,785.5,193.5,286.5,96.5,197.0,1015.5,98.5,98.5,91.5,98.5,97.5,465.0
pixel-commandos.csv,96.5,98.5,184.5,481.5,137.0,445.5,9.5,335.0,50.5,191.0,77.5,186.0,1724.5,94.5,98.5,0.0,61.5,50.5,1306.5
projecteqemu.csv,93.5,98.5,96.5,389.0,110.5,182.0,174.0,191.0,93.5,94.5,96.5,197.0,1110.0,98.5,97.5,14.5,80.5,97.5,90.5
pydev.csv,96.5,98.5,195.5,191.0,674.0,269.5,73.5,386.0,94.5,98.5,91.5,286.5,492.0,98.5,97.5,91.5,93.5,97.5,472.5
sandiaportals.csv,96.5,98.5,294.0,584.0,223.0,622.0,296.5,195.0,489.0,94.5,91.5,98.5,1385.0,98.5,97.5,0.0,98.5,97.5,756.0
uwom.csv,93.5,98.5,97.5,487.5,19.0,781.0,97.5,490.0,93.5,191.0,94.5,197.0,445.0,98.5,580.5,91.5,0.0,97.5,1238.0
xbplayer.csv,81.5,99.0,92.5,292.5,10.5,227.0,95.5,586.5,94.5,165.0,94.5,385.0,1154.0,98.5,97.5,186.0,93.5,97.5,558.5
