,rhex.csv,qgo.csv,flylegacy.csv,firebird.csv,mcore3d.csv,yield.csv,gzigzag.csv,webdriver.csv,hydrogen.csv,qtractor.csv,ogrehg.csv,dspace-gsoc.csv,nabu-library.csv,xined.csv,rocrail.csv
dspace-gsoc.csv,0.47,0.69,0.41,0.64,0.44,0.29,0.86,0.85,0.3,0.25,0.41,0.32,0.98,0.53,0.46
firebird.csv,0.27,0.37,0.36,0.31,0.46,0.13,0.78,0.87,0.26,0.46,0.45,0.89,0.34,0.81,0.34
flylegacy.csv,0.3,0.31,0.36,0.43,0.35,0.15,0.89,0.94,0.2,0.25,0.29,0.58,0.46,0.42,0.52
gzigzag.csv,0.12,0.31,0.14,0.31,0.18,0.06,0.3,0.2,0.12,0.0,0.1,0.11,0.84,0.37,0.14
hydrogen.csv,0.42,1.0,1.0,1.0,1.0,1.0,0.7,0.85,0.18,1.0,1.0,1.0,1.0,0.21,1.0
mcore3d.csv,0.47,0.37,0.41,0.49,0.46,0.12,0.81,0.09,0.08,0.17,0.26,0.47,0.69,0.67,0.36
nabu-library.csv,0.05,0.09,0.18,0.66,0.68,0.4,0.06,0.56,0.39,0.21,0.28,0.26,0.25,0.16,0.44
ogrehg.csv,0.1,0.4,0.41,0.2,0.44,0.19,0.59,0.57,0.29,0.17,0.27,0.16,0.72,0.53,0.21
qgo.csv,0.81,0.14,0.95,0.77,0.56,0.32,0.7,0.57,0.32,0.96,0.57,0.89,0.34,0.72,0.71
qtractor.csv,0.14,0.09,0.32,0.25,0.49,0.38,0.44,0.33,0.39,0.29,0.38,0.42,0.23,0.63,0.32
rhex.csv,0.27,0.66,0.55,0.33,0.21,0.18,0.49,0.46,0.14,0.46,0.32,0.0,0.25,0.16,0.28
rocrail.csv,0.26,0.23,0.59,0.23,0.32,0.19,0.59,0.72,0.2,0.42,0.25,0.21,0.3,0.26,0.29
webdriver.csv,0.3,0.63,0.45,0.68,0.53,0.47,0.31,0.22,0.44,0.21,0.33,0.63,0.8,0.7,0.32
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0
yield.csv,0.57,0.57,0.86,0.48,0.72,0.18,0.96,0.91,0.53,0.54,0.5,0.47,0.94,0.81,0.56
