,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.18,0.17,0.2,0.0,0.09,0.0,0.0,0.0,0.2,0.05,0.17,0.0,0.05
ivef-sdk.csv,0.56,0.25,0.56,0.65,0.72,0.0,0.63,0.0,0.75,0.74,0.03,1.0,0.48
jmri.csv,0.44,0.33,0.0,0.4,0.49,0.23,0.4,0.05,0.67,0.35,0.46,0.5,0.67
jython.csv,0.31,0.33,0.51,0.25,0.4,0.27,0.46,0.0,0.62,0.84,0.75,0.83,0.67
kdenlive.csv,0.05,0.33,0.49,0.85,0.42,0.83,0.46,1.0,0.39,0.7,0.46,0.17,0.33
opentibia.csv,0.72,0.0,0.42,1.0,0.6,0.2,0.37,0.99,0.73,0.33,0.78,0.67,0.62
projectfactory.csv,0.15,0.25,0.2,0.2,0.06,0.23,0.2,0.85,0.14,0.0,0.14,0.17,0.43
runuomondains.csv,0.05,0.17,0.16,0.1,0.21,0.0,0.09,0.02,0.05,0.05,0.0,0.17,0.43
somap.csv,1.0,1.0,0.94,1.0,1.0,1.0,0.97,0.95,1.0,0.91,1.0,0.0,1.0
taverna.csv,0.03,0.08,0.17,0.0,0.0,0.0,0.0,0.03,0.02,0.4,0.14,0.33,0.48
tigermud.csv,0.9,0.83,0.76,0.95,0.77,0.0,0.66,0.08,0.48,0.37,0.83,1.0,0.05
unbvision.csv,0.18,0.58,0.37,0.4,0.53,0.1,0.46,0.24,0.01,0.3,0.53,0.17,0.67
x-ray-mule.csv,0.31,0.17,0.33,0.0,0.49,0.0,0.43,0.0,0.52,0.58,0.12,0.33,0.57
