,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.14,0.27,0.12,0.03,0.19,0.51,0.94,0.14,0.17,0.05,0.0,0.11,0.17
ivef-sdk.csv,0.76,0.59,0.57,1.0,0.74,1.0,0.24,0.0,0.83,0.72,0.0,0.56,0.2
jmri.csv,0.58,0.61,0.96,0.37,0.26,0.07,0.3,0.68,0.77,0.38,0.88,0.17,0.46
jython.csv,0.28,0.23,0.54,0.2,0.7,0.36,0.27,1.0,0.43,0.87,0.5,0.68,0.57
kdenlive.csv,1.0,0.72,0.57,0.53,0.48,0.4,0.45,1.0,0.7,0.69,0.62,0.44,0.34
opentibia.csv,0.92,1.0,0.49,0.87,0.48,0.55,0.61,0.95,0.77,0.31,0.62,0.68,0.63
projectfactory.csv,0.24,0.23,0.28,0.0,0.15,0.27,0.06,0.18,0.1,0.92,0.38,0.21,0.2
runuomondains.csv,0.07,0.08,0.25,0.13,0.15,0.03,0.06,0.09,0.03,0.03,0.88,0.04,0.34
somap.csv,1.0,1.0,0.93,1.0,0.96,1.0,1.0,1.0,1.0,0.97,0.88,0.99,1.0
taverna.csv,0.01,0.06,0.18,0.03,0.93,0.0,0.0,0.23,0.07,0.31,0.12,0.28,0.31
tigermud.csv,0.87,0.89,0.77,1.0,1.0,0.12,0.85,0.41,0.43,0.23,0.75,0.68,0.97
unbvision.csv,0.21,0.48,0.43,0.3,0.44,0.07,0.15,0.64,1.0,0.46,0.75,0.35,0.63
x-ray-mule.csv,0.24,0.28,0.3,0.97,0.63,0.42,0.76,0.09,0.2,0.56,0.12,0.33,0.4
