,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.23,0.41,0.17,0.06,0.27,0.67,0.97,0.24,0.19,0.09,0.0,0.2,0.29
ivef-sdk.csv,0.73,0.73,0.52,0.82,0.47,1.0,0.25,0.0,0.42,0.57,0.0,0.68,0.27
jmri.csv,0.64,0.74,0.98,0.45,0.23,0.13,0.35,0.67,0.42,0.43,0.33,0.28,0.49
jython.csv,0.39,0.36,0.51,0.29,0.57,0.48,0.31,1.0,0.27,0.62,0.14,0.78,0.58
kdenlive.csv,0.99,0.82,0.54,0.51,0.42,0.45,0.47,0.23,0.5,0.56,0.25,0.61,0.44
opentibia.csv,0.79,1.0,0.5,0.68,0.36,0.67,0.61,0.22,0.4,0.37,0.17,0.78,0.63
projectfactory.csv,0.36,0.36,0.37,0.0,0.24,0.39,0.1,0.05,0.13,0.96,0.32,0.34,0.27
runuomondains.csv,0.13,0.15,0.35,0.22,0.19,0.06,0.11,0.15,0.06,0.05,0.93,0.08,0.43
somap.csv,0.78,0.93,0.62,0.75,0.49,0.82,0.66,0.24,0.41,0.66,0.19,0.99,0.77
taverna.csv,0.03,0.11,0.26,0.06,0.96,0.0,0.0,0.32,0.12,0.35,0.12,0.43,0.39
tigermud.csv,0.74,0.89,0.59,0.76,0.57,0.21,0.67,0.42,0.31,0.28,0.19,0.77,0.97
unbvision.csv,0.32,0.62,0.46,0.38,0.36,0.13,0.19,0.39,0.98,0.51,0.27,0.51,0.62
x-ray-mule.csv,0.34,0.43,0.36,0.98,0.49,0.59,0.68,0.17,0.15,0.51,0.12,0.49,0.46
