,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv
bloodycore.csv,0.46,0.5,0.74,0.31,0.62,0.43,0.0
flylegacy.csv,0.39,0.73,0.84,0.19,0.65,0.33,0.18
jguard.csv,0.33,0.57,0.71,0.17,0.62,0.53,0.16
mob-sen-plat.csv,0.38,0.84,0.74,0.14,0.62,0.36,0.22
raygina.csv,0.6,0.0,0.73,0.14,0.65,0.31,0.2
upp-mirror.csv,0.41,0.57,0.75,0.23,0.74,0.45,0.21
wishmaster.csv,0.4,0.5,0.74,0.19,0.68,0.31,0.38
