,nova.csv,crisscross.csv,mvdsv.csv,proftp.csv,libmesh.csv,l2j.csv,jfreechart.csv
crisscross.csv,0.15,0.9,0.0,0.07,0.15,0.11,0.0
l2j.csv,0.62,0.33,1.0,0.93,0.5,0.98,1.0
libmesh.csv,0.08,0.05,0.0,0.1,0.96,0.21,0.0
mvdsv.csv,0.0,0.0,1.0,0.07,0.0,0.0,0.0
nova.csv,0.92,0.95,0.67,0.77,0.46,0.86,1.0
proftp.csv,0.23,0.29,1.0,0.97,0.23,0.42,0.0
