,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,0.18,0.22,0.37,0.22,0.98,0.31,0.0,0.21,0.26,0.13,0.58,0.33,0.28
codepurge.csv,0.18,0.57,0.15,0.32,0.09,0.33,0.89,0.45,0.76,0.25,0.82,0.56,0.58
crisscross.csv,0.1,0.92,0.11,0.35,0.09,0.28,0.0,0.16,0.17,0.13,0.25,0.14,0.35
elvishrayrenderer.csv,0.34,0.64,0.56,0.36,0.44,0.6,0.09,0.64,0.59,0.57,0.52,0.51,0.96
gwanted.csv,0.0,0.0,0.31,0.2,0.0,0.36,0.92,0.55,0.35,0.94,0.0,0.09,0.04
jitterbit.csv,0.25,0.65,0.47,0.59,0.32,0.51,0.94,0.93,0.57,0.41,0.24,0.5,0.48
ldview.csv,0.65,0.41,0.52,0.54,0.16,0.95,0.64,0.69,0.4,0.53,0.33,0.66,0.51
libopenmetaverse.csv,0.0,0.0,0.0,1.0,0.0,0.5,0.79,0.32,0.32,0.05,0.37,0.49,0.47
mb-unit.csv,0.27,0.59,0.99,0.43,0.51,0.12,0.57,0.42,0.58,0.56,0.57,0.59,0.51
mvdsv.csv,0.0,0.0,0.0,0.0,0.0,0.12,1.0,0.01,0.0,0.0,0.0,0.02,0.0
nova.csv,0.93,0.72,0.56,0.27,0.5,0.39,0.0,0.6,0.66,0.51,0.54,0.6,0.49
olex2.csv,0.27,0.37,0.53,0.46,0.39,0.28,0.62,0.53,0.59,0.33,0.2,0.97,0.4
tolven.csv,0.1,0.33,0.2,0.22,0.13,0.46,0.92,0.54,0.96,0.47,0.42,0.24,0.39
