,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,5.0,19.0,1.0,0.0,0.0,3.0,68.0,11.0,1.0,9.0,16.0,3.0,0.0
codepurge.csv,1.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,12.0,0.0,1.0,4.0
crisscross.csv,2.0,0.0,0.0,0.0,0.0,0.0,68.0,1.0,15.0,1.0,8.0,2.0,0.0
elvishrayrenderer.csv,12.0,9.0,0.0,1.0,0.0,0.0,27.0,3.0,7.0,10.0,17.0,1.0,0.0
gwanted.csv,56.0,120.0,0.0,3.0,89.0,1.0,3.0,8.0,1.0,0.0,168.0,2.0,0.0
jitterbit.csv,16.0,16.0,0.0,0.0,0.0,0.0,6.0,0.0,24.0,24.0,31.0,4.0,0.0
ldview.csv,3.0,17.0,0.0,0.0,0.0,0.0,27.0,1.0,13.0,10.0,23.0,3.0,0.0
libopenmetaverse.csv,17.0,17.0,0.0,0.0,0.0,0.0,13.0,5.0,15.0,23.0,22.0,3.0,0.0
mb-unit.csv,0.0,4.0,0.0,0.0,0.0,0.0,15.0,7.0,3.0,13.0,10.0,2.0,0.0
mvdsv.csv,56.0,120.0,680.0,70.0,89.0,0.0,0.0,1.0,126.0,163.0,168.0,0.0,51.0
nova.csv,0.0,16.0,0.0,5.0,2.0,0.0,68.0,1.0,4.0,29.0,19.0,2.0,0.0
olex2.csv,6.0,2.0,0.0,2.0,0.0,2.0,30.0,1.0,8.0,10.0,11.0,0.0,1.0
tolven.csv,10.0,3.0,0.0,2.0,0.0,1.0,6.0,4.0,0.0,13.0,12.0,4.0,0.0
