,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.21,0.25,0.36,0.17,0.31,0.23,0.25,0.16,0.41,0.33,0.41
arsenal-1.csv,0.28,0.2,0.26,0.28,0.14,0.23,0.14,0.32,0.38,0.14,0.33
barracudamvc.csv,0.32,0.27,0.36,0.32,0.39,0.32,0.33,0.36,0.45,0.39,0.41
irplus.csv,0.26,0.23,0.36,0.19,0.19,0.18,0.16,0.29,0.24,0.16,0.16
lite.csv,0.16,0.18,0.34,0.25,0.38,0.19,0.26,0.16,0.34,0.32,0.33
mevenide.csv,0.18,0.21,0.14,0.26,0.33,0.21,0.32,0.36,0.17,0.37,0.27
mumble.csv,0.22,0.27,0.21,0.28,0.14,0.29,0.26,0.21,0.2,0.16,0.22
ontopia.csv,0.3,0.27,0.36,0.28,0.38,0.31,0.3,0.29,0.39,0.39,0.41
openintents.csv,0.22,0.2,0.36,0.28,0.39,0.27,0.29,0.34,0.25,0.39,0.41
ta3d.csv,0.2,0.21,0.26,0.25,0.22,0.17,0.13,0.14,0.38,0.16,0.39
tweetsharp.csv,0.27,0.25,0.36,0.32,0.29,0.31,0.3,0.34,0.32,0.33,0.31
