,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.05,0.03,0.0,0.23,0.02,0.21,0.05,0.24,0.01,0.07,0.0
arsenal-1.csv,1.0,0.21,0.32,0.16,0.17,0.29,0.09,0.07,0.53,0.07,0.0
barracudamvc.csv,0.85,0.91,1.0,1.0,1.0,0.93,1.0,1.0,0.99,1.0,1.0
irplus.csv,0.5,0.12,0.0,0.23,0.4,0.43,0.09,0.12,0.27,0.27,0.31
lite.csv,0.25,0.3,0.0,0.03,0.05,0.5,0.07,0.1,0.05,0.07,0.06
mevenide.csv,0.45,0.33,0.13,0.06,0.05,0.21,0.0,0.05,0.08,0.13,0.0
mumble.csv,0.15,0.85,0.52,0.16,0.11,0.5,0.66,0.46,0.27,0.27,0.44
ontopia.csv,0.75,0.97,0.97,0.94,0.98,0.79,0.8,0.85,0.75,1.0,1.0
openintents.csv,0.4,0.21,1.0,0.9,0.82,0.64,0.68,0.9,0.36,0.93,0.88
ta3d.csv,0.4,0.06,0.61,0.06,0.23,0.29,0.11,0.2,0.02,0.33,0.94
tweetsharp.csv,0.5,0.67,1.0,0.94,0.6,0.14,0.66,0.98,0.56,0.67,0.62
