,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv,javaprofiler.csv
adonthell.csv,0.55,0.52,0.76,0.58,0.96,0.45,0.26,0.4,0.51,0.2,0.24,0.32,0.4,0.17,0.47,0.62,0.46,0.31
autofac.csv,0.7,0.59,0.42,1.0,0.48,0.53,0.42,0.47,0.59,0.23,0.18,0.53,0.67,0.18,0.36,0.64,0.79,0.47
azureus.csv,0.37,0.37,0.35,0.36,0.21,0.26,0.43,0.28,0.28,0.34,0.12,0.99,0.39,0.26,0.23,0.2,0.63,0.15
dsworkbench.csv,0.5,0.22,0.99,0.23,0.33,0.26,0.3,0.36,0.15,0.12,0.0,0.15,0.57,0.17,0.39,0.3,0.13,0.27
forester-atv.csv,0.07,0.96,0.51,0.13,0.09,0.22,0.11,0.35,0.36,0.2,0.0,0.35,0.47,0.25,0.36,0.08,0.19,0.31
freelords.csv,0.81,0.48,0.87,0.56,0.57,0.99,0.48,0.43,0.62,0.19,0.35,0.44,0.85,0.22,0.53,0.62,0.85,0.63
gabel.csv,0.0,0.14,0.0,0.12,0.0,0.05,0.0,0.04,0.0,0.86,0.2,0.0,0.09,0.0,0.0,0.0,0.01,0.0
gephex.csv,0.57,0.46,0.75,0.54,0.48,0.75,0.5,0.45,0.44,0.08,0.35,0.28,0.78,0.12,0.47,0.99,0.63,0.64
google-collections.csv,1.0,0.55,0.86,0.64,0.71,0.84,0.45,0.51,0.56,0.15,0.32,0.41,0.91,0.22,0.42,0.78,0.98,0.81
javaprofiler.csv,0.66,0.35,0.69,0.4,0.59,0.73,0.29,0.37,0.21,0.13,0.08,0.25,0.5,0.27,0.19,0.64,0.64,0.99
jpaul.csv,0.41,0.58,0.45,0.46,0.0,0.05,0.97,0.28,0.53,0.32,0.12,0.39,0.48,0.25,0.32,0.0,0.54,0.15
mycila.csv,0.35,0.21,0.52,0.6,0.43,0.44,0.39,0.35,0.43,0.26,1.0,0.45,0.55,0.21,0.24,0.34,0.48,0.48
neodatis-odb.csv,0.33,0.54,0.71,0.57,0.47,0.62,0.33,0.94,0.6,0.15,0.11,0.34,0.61,0.26,0.48,0.52,0.51,0.58
octet.csv,0.7,0.46,0.71,0.27,0.35,0.37,0.2,0.45,0.0,0.19,0.14,0.41,0.77,1.0,0.3,0.39,0.63,0.59
personalaccess.csv,0.74,0.58,0.72,0.42,0.25,0.41,0.63,0.37,0.58,0.23,0.31,0.48,1.0,0.43,0.43,0.16,0.38,0.42
rcp-company-uibindings.csv,0.92,0.57,0.86,0.6,0.68,0.85,0.47,0.49,0.6,0.16,0.31,0.45,0.87,0.22,0.36,0.69,1.0,0.83
scenemonitor.csv,0.78,0.48,0.67,0.6,0.59,0.68,0.46,0.51,0.95,0.23,0.26,0.47,0.74,0.23,0.48,0.48,0.75,0.52
servicestack.csv,0.59,0.58,0.38,0.27,0.21,0.32,0.27,0.4,0.4,0.26,0.2,0.25,0.6,0.0,0.97,0.2,0.6,0.19
